Study,Format,Model,Structure_Type,Factor_Domain,N_Items,N_Participants,Alpha,Omega,Eigenvalue,Variance_Explained,Mean_Loading_Abs,Max_Loading_Abs,Min_Loading_Abs,RMSEA,CFI,TLI,SRMR,Total_Variance_Explained,N_Factors_Total,File_Source
Study_3,binary_elaborated,gpt_3.5_turbo,Original,Extraversion,8,200,0.9185866130313249,0.6771395494534165,5.417116395627335,0.6771395494534177,0.8204632841022274,0.8764334643156465,0.6589314366554443,0.27655117217614156,0.9320623388020952,0.9048872743229334,0.17018702745366207,0.0,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Original,Agreeableness,8,200,0.8119792214749693,0.45215189305489634,3.6172151444391707,0.45215189305489595,0.6291040928049467,0.8927508319556114,0.2316997111893332,0.40735060953098357,0.7052858350001494,0.5874001690002093,0.2464786621377755,0.0,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Original,Conscientiousness,8,200,0.8953222611610543,0.5987358293474845,4.789886634779872,0.5987358293474844,0.7529741937361877,0.8968604047197852,0.3045349013265737,0.3477425038028211,0.868745964994226,0.8162443509919164,0.2115590298460285,0.0,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Original,Neuroticism,7,200,0.8150781834044232,0.4865696372104078,3.405987460472857,0.48656963721040886,0.6577420864328049,0.8667769041485577,0.25973793213470686,0.19287563818346445,0.922351641948073,0.8835274629221094,0.11834273213236107,0.0,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Original,Openness,8,200,0.8890505649269467,0.5778735424284938,4.622988339427945,0.577873542428493,0.7252551466745819,0.9124138858156357,0.33341817001843455,0.2422619105299289,0.9239950289425621,0.893593040519587,0.15047232674760122,0.0,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Modified,Factor_1,13,200,0.5382953157544629,0.29526087598794093,8.590525125254873,0.34570288168546304,0.5343725124236225,0.7530133489118801,0.38661029905596284,0.3217982782301866,0.7255695276094115,0.6706834331312939,0.2121677414340607,0.6371652846300173,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Modified,Factor_2,10,200,0.7381572653707402,0.3303914620113285,6.138474876084926,0.24702662792729033,0.5654702322852534,0.6935340683655433,0.31431221792872754,0.4462094068821394,0.5776791230307878,0.4570160153252987,0.28104480112540386,0.6371652846300173,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Modified,Factor_5,5,200,0.836510039585395,0.29692584614865536,2.70842512409538,0.10899338009925223,0.543120096590045,0.6201754652161823,0.5031322288729181,0.9687361086812238,0.39028920584964866,0.0,0.4844474687779692,0.6371652846300173,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Modified,Factor_4,6,200,0.750689821751697,0.20522030702190913,3.363001471077034,0.13533506773013354,0.4525619717912312,0.47657475723653975,0.422631799591525,0.6133860647316124,0.4435092729129124,0.072515454854854,0.3373549697654827,0.6371652846300173,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
Study_3,binary_elaborated,gpt_3.5_turbo,Modified,Factor_3,5,200,0.8748826983279181,0.3476612910962224,4.049019504058452,0.16294204255786074,0.5882475608710418,0.638041011940704,0.5325741506283149,0.8397772911035188,0.6183433054191242,0.23668661083824827,0.42032718480961306,0.6371652846300173,5,study_3_binary_simple_results_bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1
