Study,Format,Model,Structure_Type,Factor_Domain,N_Items,N_Participants,Alpha,Omega,Eigenvalue,Variance_Explained,Mean_Loading_Abs,Max_Loading_Abs,Min_Loading_Abs,RMSEA,CFI,TLI,SRMR,Total_Variance_Explained,N_Factors_Total,File_Source
Study_3,expanded,deepseek_v3,Original,Extraversion,8,200,0.9512714494083989,0.7517048012603186,6.013638410082551,0.7517048012603191,0.8622514262755763,0.9468928336837359,0.6384121835964177,0.07578157311359895,0.9926195001835038,0.9896673002569053,0.061858515378280444,0.0,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Original,Agreeableness,8,200,0.9286626090308026,0.7009254921591966,5.607403937273572,0.7009254921591962,0.8312389071738783,0.9207733938358942,0.5996188353840234,0.17618873687179026,0.9713615291392866,0.9599061407950014,0.11321165173103645,0.0,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Original,Conscientiousness,8,200,0.9017403892131238,0.6241446084041549,4.993156867233243,0.624144608404156,0.782807492066128,0.9033204634641275,0.5881536847214826,0.18447041322720326,0.9591955618561797,0.9428737865986516,0.11780611597244074,0.0,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Original,Neuroticism,7,200,0.8481386705824853,0.5547086874567551,3.8829608121972856,0.5547086874567547,0.7356443299819025,0.9234472022533188,0.5726665468489159,0.32411086510368015,0.8631332764010266,0.7946999146015399,0.1910694582378048,0.0,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Original,Openness,8,200,0.8943318612868093,0.5849306084072656,4.67944486725813,0.5849306084072663,0.7539948349121732,0.8888347689013015,0.5656759596600043,0.4050297221749938,0.8221917729285529,0.7510684820999741,0.24511573830825809,0.0,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Modified,Factor_2,8,200,0.9512714494083989,0.5245046103168779,6.222185462850345,0.2373056961283619,0.720565793967767,0.7782513094328977,0.540721417162312,0.33434308091228987,0.9199367107000671,0.887911394980094,0.20373860114928813,0.6723109457510181,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Modified,Factor_1,11,200,0.8318717854241678,0.3818223441327548,6.888333202041435,0.2627116654484503,0.6100518426683599,0.7763432624657087,0.47226361096801417,0.3800256525374941,0.7985678684199079,0.7482098355248848,0.24388308600935446,0.6723109457510181,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Modified,Factor_4,7,200,0.8621583078472786,0.2579005205121621,4.3124554367087,0.16447118870704594,0.5052895995538967,0.5825184665028127,0.4156354543049984,0.6319838211943521,0.5874678611954398,0.3812017917931596,0.366245151276281,0.6723109457510181,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Modified,Factor_3,7,200,0.8084641738137249,0.36711580995220483,5.5857736957976645,0.2130338163673986,0.583847826386756,0.7504506076561841,0.3300241135513141,0.42098778693529276,0.8068547788221534,0.7102821682332301,0.24586213153237735,0.6723109457510181,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
Study_3,expanded,deepseek_v3,Modified,Factor_5,6,200,0.8133926020951778,0.3736452323110413,3.211379086891556,0.12247763334874309,0.6057832400739613,0.6669481177098134,0.4355749942961513,0.4510514958556322,0.7673414207849748,0.6122357013082913,0.24945754026729802,0.6723109457510181,5,study_3_expanded_results_bfi_to_minimarker_deepseek_temp1
