Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Bold,-0.8825066270398564,0.8825066270398564,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Energetic,-0.843827011941322,0.843827011941322,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Extraverted,-0.8899061561830405,0.8899061561830405,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Talkative,-0.8793064744317042,0.8793064744317042,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Bashful,-0.8949945622682117,0.8949945622682117,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Quiet,-0.9130132013695456,0.9130132013695456,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Shy,-0.9447151961161167,0.9447151961161167,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Extraversion,Withdrawn,-0.9350293233852058,0.9350293233852058,0.9643858462090111,0.8071687281710893,6.457349825368724,0.8071687281710916,8,200,0.09552180129598183,0.9917908329419243,0.9885071661186939,0.07090937992107273,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Agreeableness,Cooperative,-0.773498314893673,0.773498314893673,0.8406235029664296,0.4838898890842179,3.8711191126737465,0.48388988908421765,8,200,0.3705205083889456,0.772671673319224,0.6817403426469137,0.2248801426007059,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
Study_3,expanded,gpt_3.5_turbo,Original,Agreeableness,Kind,-0.8728491519992021,0.8728491519992021,0.8406235029664296,0.4838898890842179,3.8711191126737465,0.48388988908421765,8,200,0.3705205083889456,0.772671673319224,0.6817403426469137,0.2248801426007059,study_3_expanded_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
