Study,Format,Model,Structure_Type,Factor_Domain,N_Items,N_Participants,Alpha,Omega,Eigenvalue,Variance_Explained,Mean_Loading_Abs,Max_Loading_Abs,Min_Loading_Abs,RMSEA,CFI,TLI,SRMR,Total_Variance_Explained,N_Factors_Total,File_Source
Study_3,expanded,llama_3.3_70b,Original,Extraversion,8,200,0.949453921913087,0.7445435266424191,5.956348213139357,0.7445435266424196,0.8583959688582475,0.9690589940503938,0.660504242383747,0.08633036348388137,0.9912595215399249,0.9877633301558949,0.06658953961440293,0.0,5,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Original,Agreeableness,8,200,0.9371947325820044,0.7257236333378375,5.805789066702699,0.7257236333378371,0.8452630133185048,0.9483818428292285,0.5965647882300629,0.1706775853165273,0.9750135462345773,0.9650189647284081,0.11017062082261485,0.0,5,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Original,Conscientiousness,8,200,0.9297072181834537,0.7052152769070645,5.641722215256522,0.7052152769070656,0.8343227555776198,0.9346677261376941,0.635933106460491,0.14800770313315678,0.9787685104197109,0.9702759145875952,0.09782774362882317,0.0,5,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Original,Neuroticism,7,200,0.8346317289612059,0.5403499769722171,3.78244983880552,0.5403499769722172,0.7176941959965414,0.9495032593008105,0.4728557850887162,0.3581381864702755,0.8310029915325753,0.7465044872988629,0.2102551194820051,0.0,5,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Original,Openness,8,200,0.9026254542814388,0.6179876396921011,4.943901117536813,0.617987639692101,0.7767710839760427,0.918302349607958,0.5986429344687086,0.32474330072105667,0.8904753887612813,0.8466655442657939,0.1981439955349848,0.0,5,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Modified,Factor_2,18,200,0.8649363492880037,0.3375602131291987,6.545235710471715,0.2723783650088124,0.5687062410179654,0.706799401124532,0.2576808897110279,0.4339674700408658,0.5403272433443255,0.4790375424569022,0.29133525732322346,0.6161523022334467,4,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Modified,Factor_1,13,200,0.7005589618423514,0.4968357800086161,7.291920839887811,0.3034514819633876,0.6777408726231543,0.869773230230015,0.25923664527841134,0.26044294267613766,0.89322838317318,0.871874059807816,0.1737951065645224,0.6161523022334467,4,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Modified,Factor_4,5,200,0.8274308167940467,0.29722483792160814,4.552413000650651,0.1894475409003598,0.5382379705977571,0.64334834014769,0.4516372544038105,0.6768005316407883,0.6269442080669727,0.2538884161339455,0.33939971450750644,0.6161523022334467,4,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Modified,Factor_3,3,200,0.9552891793394974,0.4059996612918293,5.640370236094257,0.23472261212744022,0.6371145094691301,0.6491899428353363,0.6268598501290437,0.0,0.6978973549927125,0.0,0.4944684308362955,0.6161523022334467,4,study_3_expanded_results_bfi_to_minimarker_llama_temp1
Study_3,expanded,llama_3.3_70b,Original,Extraversion,8,200,0.9492936079652093,0.7436669257060591,5.949335405648472,0.743666925706059,0.8577612078890893,0.9682332102004717,0.6579784478596338,0.08762128347789766,0.9910797932517196,0.9875117105524074,0.06718604731777736,0.0,5,study_3_expanded_results_bfi_to_minimarker_llama_temp1_0
