Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Bold,-0.34996784711845874,0.34996784711845874,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Energetic,0.001492732500900437,0.001492732500900437,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Extraverted,-0.3209812343374115,0.3209812343374115,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Talkative,-0.33396876310857726,0.33396876310857726,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Bashful,-0.6083516044694669,0.6083516044694669,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Quiet,-0.7823094642802528,0.7823094642802528,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Shy,-0.9756088565793444,0.9756088565793444,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Extraversion,Withdrawn,-0.9768839000553703,0.9768839000553703,0.820273891148064,0,3.2252583775825667,0.40315729719782084,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Cooperative,0.7519175892060331,0.7519175892060331,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Kind,0.9691312463432836,0.9691312463432836,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Sympathetic,0.9496962494586312,0.9496962494586312,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Warm,0.9793027902112806,0.9793027902112806,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Cold,0.009729226508241293,0.009729226508241293,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Harsh,0.03677956138054889,0.03677956138054889,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Rude,0.054193060198286416,0.054193060198286416,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Agreeableness,Unsympathetic,0.12610173748973846,0.12610173748973846,0.819569172976463,0,3.3858382847030692,0.42322978558788366,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Conscientiousness,Efficient,-0.30895584913178153,0.30895584913178153,0.8383342319555341,0,3.1938810915706624,0.3992351364463328,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Conscientiousness,Organized,-0.44119450929674575,0.44119450929674575,0.8383342319555341,0,3.1938810915706624,0.3992351364463328,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Conscientiousness,Practical,-0.139213490110965,0.139213490110965,0.8383342319555341,0,3.1938810915706624,0.3992351364463328,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
STUDY_3,likert,gpt_3.5_turbo,Original,Conscientiousness,Systematic,-0.45751993219721654,0.45751993219721654,0.8383342319555341,0,3.1938810915706624,0.3992351364463328,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_openai_gpt_3.5_turbo_0125_temp1
