Study,Format,Model,Structure_Type,Factor_Domain,Item,Loading,Loading_Abs,Alpha,Omega,Eigenvalue,Variance_Explained,N_Items,N_Participants,RMSEA,CFI,TLI,SRMR,File_Source
STUDY_3,likert,gpt_4,Original,Extraversion,Bold,0.5410109737479453,0.5410109737479453,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Energetic,0.38228490506760165,0.38228490506760165,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Extraverted,0.6404076687847351,0.6404076687847351,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Talkative,0.652053198939917,0.652053198939917,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Bashful,0.9149504761794168,0.9149504761794168,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Quiet,0.7094443862500598,0.7094443862500598,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Shy,0.9648694929930169,0.9648694929930169,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Extraversion,Withdrawn,0.9585222514667334,0.9585222514667334,0.9093646817749602,0,4.464313734952445,0.5580392168690557,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Cooperative,-0.7318903943121475,0.7318903943121475,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Kind,-0.886056606109174,0.886056606109174,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Sympathetic,-0.8115385036882823,0.8115385036882823,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Warm,-0.8630516570137463,0.8630516570137463,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Cold,-0.7685066274783179,0.7685066274783179,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Harsh,-0.6183839001701082,0.6183839001701082,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Rude,-0.5705133676815677,0.5705133676815677,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Agreeableness,Unsympathetic,-0.7900099036827312,0.7900099036827312,0.9141746820246628,0,4.646814999246742,0.5808518749058428,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Efficient,-0.5863988237739292,0.5863988237739292,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Organized,-0.9111961472336512,0.9111961472336512,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Practical,-0.6213530909133566,0.6213530909133566,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Systematic,-0.8963721210051886,0.8963721210051886,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Careless,-0.6242835490141787,0.6242835490141787,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Disorganized,-0.6641783339679114,0.6641783339679114,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
STUDY_3,likert,gpt_4,Original,Conscientiousness,Inefficient,-0.5218950124845342,0.5218950124845342,0.8863900968811858,0,3.9380536608540035,0.49225670760675044,8,200,0,0,0,0,study_3_likert_results_bfi_to_minimarker_gpt_4_temp1
