participant_id,model,temperature,Bashful,Bold,Careless,Cold,Complex,Cooperative,Creative,Deep,Disorganized,Efficient,Energetic,Envious,Extraverted,Fretful,Harsh,Imaginative,Inefficient,Intellectual,Jealous,Kind,Moody,Organized,Philosophical,Practical,Quiet,Relaxed,Rude,Shy,Sloppy,Sympathetic,Systematic,Talkative,Temperamental,Touchy,Uncreative,Unenvious,Unintellectual,Unsympathetic,Warm,Withdrawn
0,deepseek,1.0,6.0,8.0,7.0,2.0,3.0,9.0,4.0,3.0,5.0,7.0,9.0,2.0,9.0,6.0,2.0,4.0,3.0,8.0,2.0,9.0,6.0,6.0,8.0,7.0,2.0,7.0,4.0,6.0,3.0,9.0,4.0,9.0,2.0,3.0,6.0,9.0,2.0,1.0,9.0,3.0
1,deepseek,1.0,5.0,5.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,5.0,8.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0
2,deepseek,1.0,8.0,4.0,6.0,2.0,8.0,8.0,7.0,8.0,3.0,7.0,3.0,4.0,2.0,6.0,3.0,9.0,3.0,8.0,4.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,9.0,2.0,9.0,8.0,2.0,3.0,5.0,2.0,6.0,2.0,2.0,7.0,8.0
3,deepseek,1.0,8.0,6.0,7.0,3.0,9.0,7.0,7.0,9.0,8.0,5.0,4.0,3.0,8.0,7.0,3.0,5.0,7.0,8.0,3.0,7.0,3.0,3.0,8.0,5.0,6.0,3.0,3.0,8.0,7.0,7.0,3.0,8.0,3.0,4.0,3.0,7.0,3.0,3.0,7.0,6.0
4,deepseek,1.0,6.0,7.0,2.0,3.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,3.0,6.0,7.0,3.0,5.0,2.0,4.0,3.0,7.0,7.0,9.0,4.0,6.0,7.0,6.0,4.0,7.0,1.0,7.0,9.0,4.0,6.0,5.0,3.0,7.0,5.0,3.0,6.0,5.0
5,deepseek,1.0,5.0,3.0,6.0,2.0,7.0,8.0,6.0,7.0,2.0,7.0,6.0,3.0,8.0,6.0,2.0,5.0,3.0,8.0,3.0,8.0,6.0,9.0,8.0,7.0,7.0,7.0,2.0,6.0,2.0,7.0,7.0,5.0,3.0,4.0,4.0,7.0,2.0,2.0,8.0,3.0
6,deepseek,1.0,2.0,8.0,6.0,2.0,8.0,9.0,7.0,9.0,2.0,9.0,9.0,2.0,9.0,6.0,2.0,6.0,2.0,9.0,2.0,9.0,3.0,9.0,9.0,7.0,2.0,7.0,4.0,2.0,4.0,4.0,9.0,9.0,5.0,4.0,2.0,9.0,2.0,6.0,7.0,2.0
7,deepseek,1.0,1.0,8.0,7.0,6.0,9.0,7.0,9.0,9.0,2.0,8.0,8.0,2.0,9.0,6.0,3.0,6.0,2.0,8.0,2.0,7.0,2.0,7.0,8.0,6.0,1.0,6.0,2.0,1.0,1.0,7.0,7.0,9.0,2.0,3.0,1.0,8.0,2.0,3.0,6.0,1.0
8,deepseek,1.0,4.0,8.0,6.0,6.0,3.0,7.0,3.0,3.0,2.0,9.0,8.0,5.0,9.0,9.0,4.0,3.0,2.0,3.0,5.0,7.0,3.0,9.0,3.0,7.0,2.0,2.0,2.0,5.0,2.0,7.0,9.0,8.0,3.0,3.0,8.0,5.0,6.0,4.0,6.0,3.0
9,deepseek,1.0,8.0,6.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,4.0,8.0,7.0,5.0,5.0,4.0,8.0,4.0,8.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,6.0,9.0,6.0,8.0,7.0,5.0,7.0,6.0,3.0,3.0,6.0,5.0
10,deepseek,1.0,8.0,2.0,1.0,2.0,9.0,8.0,7.0,9.0,7.0,6.0,8.0,2.0,2.0,8.0,2.0,9.0,3.0,9.0,2.0,9.0,8.0,3.0,9.0,5.0,8.0,2.0,6.0,9.0,7.0,9.0,3.0,3.0,8.0,7.0,2.0,8.0,2.0,2.0,7.0,8.0
11,deepseek,1.0,1.0,9.0,1.0,2.0,7.0,6.0,7.0,6.0,1.0,9.0,9.0,2.0,9.0,2.0,3.0,6.0,1.0,8.0,2.0,6.0,1.0,9.0,8.0,7.0,1.0,9.0,3.0,1.0,1.0,6.0,9.0,9.0,1.0,2.0,2.0,8.0,2.0,3.0,6.0,1.0
