model,temperature,count,mean,std,min,max,trait
deepseek,0.0,30,4.6,2.401149150173581,1.0,9.0,Bashful
deepseek,1.0,30,5.033333333333333,2.370556945083804,1.0,9.0,Bashful
deepseek,0.0,30,6.033333333333333,2.075860159620308,2.0,9.0,Bold
deepseek,1.0,30,6.133333333333334,2.208655907908751,2.0,9.0,Bold
deepseek,0.0,30,5.733333333333333,2.148509239920319,1.0,8.0,Careless
deepseek,1.0,30,5.8,2.171921126401773,1.0,8.0,Careless
deepseek,0.0,30,3.8,2.2499042125204447,1.0,9.0,Cold
deepseek,1.0,30,3.8,2.187740134602765,1.0,9.0,Cold
deepseek,0.0,30,7.433333333333334,1.7157150581957192,3.0,9.0,Complex
deepseek,1.0,30,7.4,1.7340405277052027,3.0,9.0,Complex
deepseek,0.0,30,6.766666666666667,0.8976341829703132,5.0,8.0,Cooperative
deepseek,1.0,30,7.0,0.9826073688810353,5.0,9.0,Cooperative
deepseek,0.0,30,6.066666666666666,1.7798359733284477,2.0,9.0,Creative
deepseek,1.0,30,6.1,1.62629258935989,3.0,9.0,Creative
deepseek,0.0,30,7.333333333333333,1.7875688235283629,3.0,9.0,Deep
deepseek,1.0,30,7.333333333333333,1.8257418583505538,3.0,9.0,Deep
deepseek,0.0,30,3.9,2.1711271504562504,1.0,9.0,Disorganized
deepseek,1.0,30,4.0,2.289405885889356,1.0,9.0,Disorganized
deepseek,0.0,30,6.966666666666667,1.473521078171633,4.0,9.0,Efficient
deepseek,1.0,30,7.1,1.3480509557543974,4.0,9.0,Efficient
deepseek,0.0,30,6.466666666666667,1.9953970019528193,2.0,9.0,Energetic
deepseek,1.0,30,6.366666666666666,1.956128007470164,2.0,9.0,Energetic
deepseek,0.0,30,3.0,1.2317635241028793,1.0,5.0,Envious
deepseek,1.0,30,3.1666666666666665,1.2617266038997932,1.0,5.0,Envious
deepseek,0.0,30,6.7,2.680066906009933,1.0,9.0,Extraverted
deepseek,1.0,30,6.733333333333333,2.6120850877693718,1.0,9.0,Extraverted
deepseek,0.0,30,6.333333333333333,1.4932799662056893,2.0,9.0,Fretful
deepseek,1.0,30,6.433333333333334,1.454679330307195,2.0,9.0,Fretful
deepseek,0.0,30,3.3666666666666667,1.6078113916950485,1.0,7.0,Harsh
deepseek,1.0,30,3.3,1.684615990213425,1.0,8.0,Harsh
deepseek,0.0,30,5.233333333333333,1.4781939897267773,3.0,9.0,Imaginative
deepseek,1.0,30,5.333333333333333,1.6259391627362751,3.0,9.0,Imaginative
deepseek,0.0,30,3.2,1.5177115259040728,1.0,7.0,Inefficient
deepseek,1.0,30,3.3333333333333335,1.582955187753836,1.0,7.0,Inefficient
deepseek,0.0,30,7.2,1.7694729392558173,3.0,9.0,Intellectual
deepseek,1.0,30,7.166666666666667,1.8019784784457358,3.0,9.0,Intellectual
deepseek,0.0,30,2.933333333333333,1.2298957997167563,1.0,5.0,Jealous
deepseek,1.0,30,3.1666666666666665,1.2617266038997932,1.0,5.0,Jealous
deepseek,0.0,30,7.3,0.9878573120474016,5.0,9.0,Kind
deepseek,1.0,30,7.4,0.9321831993987981,6.0,9.0,Kind
deepseek,0.0,30,4.5,2.2552620460939177,1.0,8.0,Moody
deepseek,1.0,30,4.6,2.298425248009962,1.0,8.0,Moody
deepseek,0.0,30,6.633333333333334,1.9736773542933947,2.0,9.0,Organized
deepseek,1.0,30,6.7,1.8964576779190014,2.0,9.0,Organized
deepseek,0.0,30,7.1,1.9000907419347655,3.0,9.0,Philosophical
deepseek,1.0,30,7.166666666666667,1.9666764075348093,2.0,9.0,Philosophical
deepseek,0.0,30,5.8,0.6643638388299198,5.0,7.0,Practical
deepseek,1.0,30,5.966666666666667,0.6149478998583779,5.0,7.0,Practical
deepseek,0.0,30,4.9,2.6954623427863558,1.0,9.0,Quiet
deepseek,1.0,30,4.933333333333334,2.6383554613110576,1.0,9.0,Quiet
deepseek,0.0,30,5.533333333333333,2.208655907908751,2.0,9.0,Relaxed
deepseek,1.0,30,5.666666666666667,2.23349630559946,2.0,9.0,Relaxed
deepseek,0.0,30,4.3,2.246069363623238,1.0,8.0,Rude
deepseek,1.0,30,4.233333333333333,2.4308836669612246,1.0,9.0,Rude
deepseek,0.0,30,4.9,2.550861923296543,1.0,9.0,Shy
deepseek,1.0,30,5.933333333333334,2.3034207445529318,1.0,9.0,Shy
deepseek,0.0,30,3.4,1.9757146240948031,1.0,8.0,Sloppy
deepseek,1.0,30,3.7333333333333334,2.211776214491083,1.0,9.0,Sloppy
deepseek,0.0,30,6.133333333333334,2.2242136670701425,2.0,9.0,Sympathetic
deepseek,1.0,30,6.666666666666667,1.8997882519635836,2.0,9.0,Sympathetic
deepseek,0.0,30,6.433333333333334,1.9419743478779763,2.0,9.0,Systematic
deepseek,1.0,30,6.566666666666666,1.832340378960147,3.0,9.0,Systematic
deepseek,0.0,30,6.433333333333334,2.5418338931232083,1.0,9.0,Talkative
deepseek,1.0,30,6.533333333333333,2.4315928273789837,1.0,9.0,Talkative
deepseek,0.0,30,4.766666666666667,2.6087826905353344,1.0,8.0,Temperamental
deepseek,1.0,30,5.1,2.8448380355085,1.0,9.0,Temperamental
deepseek,0.0,30,4.233333333333333,1.4307782626184986,2.0,7.0,Touchy
deepseek,1.0,30,4.566666666666666,1.501340397280293,2.0,7.0,Touchy
deepseek,0.0,30,3.933333333333333,2.0998084203800236,1.0,8.0,Uncreative
deepseek,1.0,30,4.033333333333333,2.092405534197477,1.0,8.0,Uncreative
deepseek,0.0,30,6.966666666666667,1.2726115785600325,5.0,9.0,Unenvious
deepseek,1.0,30,7.066666666666666,1.1724814044061258,5.0,9.0,Unenvious
deepseek,0.0,30,2.6666666666666665,1.3729739514150905,1.0,6.0,Unintellectual
deepseek,1.0,30,2.8333333333333335,1.366680683976335,1.0,6.0,Unintellectual
deepseek,0.0,30,3.9,2.0231419743250503,1.0,8.0,Unsympathetic
deepseek,1.0,30,3.4,1.6315848018160874,1.0,7.0,Unsympathetic
deepseek,0.0,30,6.333333333333333,1.5387709679981694,2.0,9.0,Warm
deepseek,1.0,30,6.533333333333333,1.3578211078487257,2.0,9.0,Warm
deepseek,0.0,30,4.066666666666666,2.242740523883952,1.0,9.0,Withdrawn
deepseek,1.0,30,4.533333333333333,2.23966335729792,1.0,9.0,Withdrawn
