model,condition,bfi_orig_E_mean,bfi_orig_A_mean,bfi_orig_C_mean,bfi_orig_N_mean,bfi_orig_O_mean,bfi_orig_E_p_mean,bfi_orig_A_p_mean,bfi_orig_C_p_mean,bfi_orig_N_p_mean,bfi_orig_O_p_mean,bfi_sim_E_mean,bfi_sim_A_mean,bfi_sim_C_mean,bfi_sim_N_mean,bfi_sim_O_mean,bfi_sim_E_p_mean,bfi_sim_A_p_mean,bfi_sim_C_p_mean,bfi_sim_N_p_mean,bfi_sim_O_p_mean,orig_sim_E_mean,orig_sim_A_mean,orig_sim_C_mean,orig_sim_N_mean,orig_sim_O_mean,orig_sim_E_p_mean,orig_sim_A_p_mean,orig_sim_C_p_mean,orig_sim_N_p_mean,orig_sim_O_p_mean,bfi_orig_avg_mean,bfi_sim_avg_mean,orig_sim_avg_mean,n_participants_mean,bfi_orig_E_std,bfi_orig_A_std,bfi_orig_C_std,bfi_orig_N_std,bfi_orig_O_std,bfi_orig_E_p_std,bfi_orig_A_p_std,bfi_orig_C_p_std,bfi_orig_N_p_std,bfi_orig_O_p_std,bfi_sim_E_std,bfi_sim_A_std,bfi_sim_C_std,bfi_sim_N_std,bfi_sim_O_std,bfi_sim_E_p_std,bfi_sim_A_p_std,bfi_sim_C_p_std,bfi_sim_N_p_std,bfi_sim_O_p_std,orig_sim_E_std,orig_sim_A_std,orig_sim_C_std,orig_sim_N_std,orig_sim_O_std,orig_sim_E_p_std,orig_sim_A_p_std,orig_sim_C_p_std,orig_sim_N_p_std,orig_sim_O_p_std,bfi_orig_avg_std,bfi_sim_avg_std,orig_sim_avg_std,n_participants_std,bfi_orig_E_count,bfi_orig_A_count,bfi_orig_C_count,bfi_orig_N_count,bfi_orig_O_count,bfi_orig_E_p_count,bfi_orig_A_p_count,bfi_orig_C_p_count,bfi_orig_N_p_count,bfi_orig_O_p_count,bfi_sim_E_count,bfi_sim_A_count,bfi_sim_C_count,bfi_sim_N_count,bfi_sim_O_count,bfi_sim_E_p_count,bfi_sim_A_p_count,bfi_sim_C_p_count,bfi_sim_N_p_count,bfi_sim_O_p_count,orig_sim_E_count,orig_sim_A_count,orig_sim_C_count,orig_sim_N_count,orig_sim_O_count,orig_sim_E_p_count,orig_sim_A_p_count,orig_sim_C_p_count,orig_sim_N_p_count,orig_sim_O_p_count,bfi_orig_avg_count,bfi_sim_avg_count,orig_sim_avg_count,n_participants_count
deepseek,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6786195921073035,0.4250942864585363,0.5652640958033295,0.7798973089765232,0.3313581226428144,2.0844664009874832e-60,1.1996263946330766e-20,2.403657915157177e-38,9.283231774225433e-91,1.1026480339834705e-12,0.6167714887506662,0.3696681935976376,0.5539847876407378,0.5871810588244534,0.1794055673320793,2.9473394351130155e-47,1.2483113606712249e-15,1.3485325117944837e-36,6.074051405569712e-42,0.000160251961594,0.801933672053827,0.5560466811977014,0.4614022192291149,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
deepseek,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9071127041241088,0.8880689037454328,0.9206971205026472,0.9320950683320232,0.8091073120294765,5.762320264848297e-166,2.994952497912079e-149,2.8620856092167502e-180,2.094287169679901e-194,1.0296978929712758e-102,0.858049320292571,0.768486817328025,0.8400475249631432,0.7547121463628291,0.7152871621263284,2.9412283985297856e-128,1.4136211392694585e-86,7.244232796834255e-118,7.756755647403608e-82,7.459220566361443e-70,0.801933672053827,0.8914162217467376,0.7873165942145792,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
deepseek,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9315193868590238,0.9072722404606988,0.9199770942023742,0.9230294566985094,0.8164906211412136,1.2369382912530524e-193,4.0335966376647836e-166,1.8934355588329943e-179,5.549408612852146e-183,4.569123236670349e-106,0.8859348100234067,0.777925430382783,0.8299115335875227,0.7359565985707243,0.7254051996937428,1.440363596003165e-147,5.108132632744931e-90,1.443279031938117e-112,7.22690070336454e-76,9.946325099816488e-73,0.801933672053827,0.899657759872364,0.7910267144516359,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
deepseek,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6738928680022207,0.432874960957202,0.5756980731467671,0.7800930073496845,0.3187916527501926,2.7374583388018626e-59,1.9805125235557338e-21,5.035481175295634e-40,7.830397593699258e-91,8.385295938664053e-12,0.6089410488819584,0.3740417561678978,0.5653977998025718,0.5961742375881904,0.1648762073126556,8.51649997228852e-46,5.420079998335742e-16,2.2894748042711206e-38,1.6849848656349802e-43,0.0005312545678084,0.801933672053827,0.5562701124412134,0.4618862099506547,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6804827676538574,0.4280917874115523,0.5848384268092055,0.7746374362482739,0.3904833069826045,7.453641220678379e-61,6.026618193746519e-21,1.517371068604949e-41,8.439545514036723e-89,2.0989380741096826e-17,0.6142051805936278,0.3686407963691398,0.5536593860090587,0.594538648819568,0.2310586825068333,8.968308434558018e-47,1.5157929564858584e-15,1.5112419694477526e-36,3.2613435026886307e-43,1.0177105343458648e-06,0.801933672053827,0.5717067450210986,0.4724205388596455,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9046009198093156,0.8306211970688836,0.8738482679021159,0.906805777217712,0.7936195291395844,1.4560406368542964e-163,6.307326801758935e-113,1.233192187183356e-138,1.142424657355732e-165,3.91489229541845e-96,0.8567004605074533,0.7363513662905778,0.8051695882181579,0.7310971898327313,0.7062143332973847,1.976275900400851e-127,5.4776420119905304e-76,5.515960411994654e-101,2.103652887279646e-74,2.2182660956988728e-67,0.801933672053827,0.8618991382275223,0.7671065876292611,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9249324830781972,0.90650136762504,0.9096153744665016,0.9090907176591394,0.6772694056285052,2.9295218140460583e-185,2.247000915475791e-165,1.9847458916941463e-168,6.605686961834091e-168,4.3710915918355086e-60,0.8833070706292823,0.7948210507194625,0.8384466649391776,0.7473003150581735,0.5502344099040057,1.527830888693374e-145,1.2666736905771841e-96,5.263230267788083e-117,2.049386626917893e-79,4.974737553790324e-36,0.801933672053827,0.8654818696914767,0.7628219022500204,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6737321171439119,0.3895172992653694,0.580969352493034,0.773969916257395,0.3904595309983392,2.98548977525789e-59,2.5537537164200458e-17,6.77273039701208e-41,1.4828142799137809e-88,2.1091112323846017e-17,0.6085689216735838,0.3377777742567057,0.5582202174941358,0.6007231730508223,0.2434464060740668,9.969501758799144e-46,3.7709932778937323e-13,3.0264749494774653e-37,2.631650553736608e-44,2.4933174389259754e-07,0.801933672053827,0.56172964323161,0.4697472985098628,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4o,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.685337202753858,0.4356460947564411,0.6098387561795413,0.7696140409291763,0.3992243535671207,4.931194342847434e-62,1.030968671349612e-21,5.819051511437418e-46,5.59666971529134e-87,3.4544449542358083e-18,0.6190446601865128,0.3874639033773543,0.5806180463059475,0.5893513171798959,0.250610556899471,1.0904736166748371e-47,3.866430493474302e-17,7.750396806688167e-41,2.583592568958872e-42,1.0668470446680117e-07,0.801933672053827,0.5799320896372275,0.4854176967898363,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4o,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9169104535954022,0.9111708761211172,0.931399029148832,0.9251363630729272,0.8204812294348222,4.8724102483231576e-176,5.376666188348281e-170,1.7895989684524924e-193,1.6566949833556664e-185,6.080545162700449e-108,0.8786890457216497,0.7747717793186608,0.8287935794594482,0.7571368284730023,0.7330411029608196,4.250043947748699e-142,7.532792712077052e-89,5.27622148841866e-112,1.1981121678088265e-82,5.510374411904688e-75,0.801933672053827,0.90101959027462,0.7944864671867161,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
