condition,model,bfi_orig_E,bfi_orig_A,bfi_orig_C,bfi_orig_N,bfi_orig_O,bfi_orig_E_p,bfi_orig_A_p,bfi_orig_C_p,bfi_orig_N_p,bfi_orig_O_p,bfi_sim_E,bfi_sim_A,bfi_sim_C,bfi_sim_N,bfi_sim_O,bfi_sim_E_p,bfi_sim_A_p,bfi_sim_C_p,bfi_sim_N_p,bfi_sim_O_p,orig_sim_E,orig_sim_A,orig_sim_C,orig_sim_N,orig_sim_O,orig_sim_E_p,orig_sim_A_p,orig_sim_C_p,orig_sim_N_p,orig_sim_O_p,bfi_orig_avg,bfi_sim_avg,orig_sim_avg,n_participants
Simple Binary,llama,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6716068269410714,0.37068050727780055,0.5790896305107508,0.7701244374887415,0.4086979884910729,9.349621769044528e-59,1.0302644690236078e-15,1.3908332874019483e-40,3.6725578511060944e-87,4.596995994756108e-19,0.6076653878216381,0.31166400357602164,0.5460193017155189,0.6016643804875089,0.25229092625662236,1.4601718084006282e-45,2.5428389038805056e-11,2.1156187425681752e-35,1.7855298477981835e-44,8.709108433070467e-08,0.801933672053827,0.5600398781418875,0.463860799971462,438
Simple Binary,gpt_4o,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6936076709732214,0.4639683498528394,0.6217648982598272,0.7719645640222068,0.4034133789300366,4.2613136194183745e-64,9.148274912182584e-25,3.2824846193049565e-48,7.968708660702663e-88,1.4273354004725905e-18,0.6276207910419772,0.4001182752419673,0.5896702254641979,0.5954158648801474,0.2616838175341683,2.3777405961276888e-49,2.863660964229335e-18,2.2773696025411573e-42,2.2897128134624286e-43,2.726781254867573e-08,0.801933672053827,0.5909437724076263,0.4949017948324917,438
Simple Binary,deepseek,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6738928680022207,0.432874960957202,0.5756980731467671,0.7800930073496845,0.31879165275019267,2.7374583388018626e-59,1.9805125235557338e-21,5.0354811752956344e-40,7.830397593699259e-91,8.385295938664053e-12,0.6089410488819584,0.37404175616789787,0.5653977998025718,0.5961742375881904,0.16487620731265565,8.51649997228852e-46,5.420079998335742e-16,2.2894748042711209e-38,1.6849848656349802e-43,0.0005312545678084604,0.801933672053827,0.5562701124412134,0.46188620995065477,438
Simple Binary,gpt_4,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6737321171439119,0.38951729926536943,0.580969352493034,0.773969916257395,0.39045953099833924,2.9854897752578896e-59,2.553753716420046e-17,6.77273039701208e-41,1.4828142799137809e-88,2.109111232384602e-17,0.6085689216735838,0.33777777425670574,0.5582202174941358,0.6007231730508223,0.24344640607406684,9.969501758799144e-46,3.770993277893732e-13,3.0264749494774653e-37,2.631650553736608e-44,2.4933174389259754e-07,0.801933672053827,0.56172964323161,0.46974729850986285,438
Simple Binary,openai_gpt_3.5_turbo_0125,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6738205923439851,0.2651076257125338,0.5537229040046528,0.5690881767871886,0.35800124501871555,2.846338311015286e-59,1.7653793063465704e-08,1.478023327644069e-36,5.922674536774366e-39,1.0870515045191303e-14,0.60719442630328,0.23150463257788878,0.523685679888188,0.44810886533520783,0.26798153990897206,1.7806528633977016e-45,9.687541855910321e-07,3.253110104530859e-32,5.074727089522868e-23,1.219766772603977e-08,0.801933672053827,0.48394810877341515,0.41569502880270737,438
Elaborated Binary,llama,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6734713643100577,0.3904939872770291,0.5743647740961246,0.7703399898662224,0.3939349146766473,3.436101835732825e-59,2.0943839579039188e-17,8.316235613291654e-40,3.0729646481009808e-87,1.0359695725880378e-17,0.6091220910886508,0.3332519493438915,0.5431622805415931,0.6052571547234689,0.25404510697428834,7.887608956591184e-46,8.055611250424959e-13,5.578468605126611e-35,4.0137048993057946e-45,7.035568239070141e-08,0.801933672053827,0.5605210060452162,0.4689677165343785,438
Elaborated Binary,gpt_4o,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.685337202753858,0.43564609475644117,0.6098387561795413,0.7696140409291763,0.39922435356712077,4.931194342847434e-62,1.0309686713496119e-21,5.819051511437418e-46,5.59666971529134e-87,3.454444954235808e-18,0.6190446601865128,0.38746390337735437,0.5806180463059475,0.5893513171798959,0.250610556899471,1.0904736166748373e-47,3.8664304934743014e-17,7.750396806688168e-41,2.583592568958872e-42,1.0668470446680117e-07,0.801933672053827,0.5799320896372275,0.4854176967898363,438
Elaborated Binary,deepseek,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6786195921073035,0.42509428645853636,0.5652640958033295,0.7798973089765232,0.3313581226428144,2.084466400987483e-60,1.1996263946330766e-20,2.403657915157177e-38,9.283231774225434e-91,1.1026480339834703e-12,0.6167714887506662,0.36966819359763764,0.5539847876407378,0.5871810588244534,0.17940556733207938,2.9473394351130155e-47,1.248311360671225e-15,1.3485325117944835e-36,6.074051405569712e-42,0.00016025196159402376,0.801933672053827,0.5560466811977014,0.46140221922911495,438
Elaborated Binary,gpt_4,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6804827676538574,0.42809178741155235,0.5848384268092055,0.7746374362482739,0.3904833069826045,7.453641220678379e-61,6.026618193746519e-21,1.517371068604949e-41,8.439545514036723e-89,2.0989380741096826e-17,0.6142051805936278,0.3686407963691398,0.5536593860090587,0.594538648819568,0.2310586825068333,8.968308434558018e-47,1.5157929564858582e-15,1.5112419694477526e-36,3.2613435026886307e-43,1.0177105343458648e-06,0.801933672053827,0.5717067450210986,0.4724205388596455,438
Elaborated Binary,openai_gpt_3.5_turbo_0125,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.302823192372422e-97,8.304859339507544e-118,1.2366297044974693e-76,1.969501825553151e-80,0.6749394345936777,0.2773204535602383,0.575693720560122,0.567436435268632,0.3611919357156299,1.5542675179716299e-59,3.5590268372636905e-09,5.043753978481581e-40,1.0870748082519234e-38,6.067381313195476e-15,0.6123873478541452,0.2145770957908119,0.5083457222657962,0.44444950077245104,0.2372325876882238,1.9604763193436797e-46,5.875666112023965e-06,3.6984917049617574e-30,1.244611046147121e-22,5.097678623188513e-07,0.801933672053827,0.49131639593966003,0.4033984508742857,438
