model,condition,bfi_orig_E_mean,bfi_orig_A_mean,bfi_orig_C_mean,bfi_orig_N_mean,bfi_orig_O_mean,bfi_orig_E_p_mean,bfi_orig_A_p_mean,bfi_orig_C_p_mean,bfi_orig_N_p_mean,bfi_orig_O_p_mean,bfi_sim_E_mean,bfi_sim_A_mean,bfi_sim_C_mean,bfi_sim_N_mean,bfi_sim_O_mean,bfi_sim_E_p_mean,bfi_sim_A_p_mean,bfi_sim_C_p_mean,bfi_sim_N_p_mean,bfi_sim_O_p_mean,orig_sim_E_mean,orig_sim_A_mean,orig_sim_C_mean,orig_sim_N_mean,orig_sim_O_mean,orig_sim_E_p_mean,orig_sim_A_p_mean,orig_sim_C_p_mean,orig_sim_N_p_mean,orig_sim_O_p_mean,bfi_orig_avg_mean,bfi_sim_avg_mean,orig_sim_avg_mean,n_participants_mean,bfi_orig_E_std,bfi_orig_A_std,bfi_orig_C_std,bfi_orig_N_std,bfi_orig_O_std,bfi_orig_E_p_std,bfi_orig_A_p_std,bfi_orig_C_p_std,bfi_orig_N_p_std,bfi_orig_O_p_std,bfi_sim_E_std,bfi_sim_A_std,bfi_sim_C_std,bfi_sim_N_std,bfi_sim_O_std,bfi_sim_E_p_std,bfi_sim_A_p_std,bfi_sim_C_p_std,bfi_sim_N_p_std,bfi_sim_O_p_std,orig_sim_E_std,orig_sim_A_std,orig_sim_C_std,orig_sim_N_std,orig_sim_O_std,orig_sim_E_p_std,orig_sim_A_p_std,orig_sim_C_p_std,orig_sim_N_p_std,orig_sim_O_p_std,bfi_orig_avg_std,bfi_sim_avg_std,orig_sim_avg_std,n_participants_std,bfi_orig_E_count,bfi_orig_A_count,bfi_orig_C_count,bfi_orig_N_count,bfi_orig_O_count,bfi_orig_E_p_count,bfi_orig_A_p_count,bfi_orig_C_p_count,bfi_orig_N_p_count,bfi_orig_O_p_count,bfi_sim_E_count,bfi_sim_A_count,bfi_sim_C_count,bfi_sim_N_count,bfi_sim_O_count,bfi_sim_E_p_count,bfi_sim_A_p_count,bfi_sim_C_p_count,bfi_sim_N_p_count,bfi_sim_O_p_count,orig_sim_E_count,orig_sim_A_count,orig_sim_C_count,orig_sim_N_count,orig_sim_O_count,orig_sim_E_p_count,orig_sim_A_p_count,orig_sim_C_p_count,orig_sim_N_p_count,orig_sim_O_p_count,bfi_orig_avg_count,bfi_sim_avg_count,orig_sim_avg_count,n_participants_count
deepseek,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6786195921073035,0.3659267805830982,0.5652640958033295,0.776470603254203,0.3820163486116051,2.0844664009874832e-60,2.5230703747857e-15,2.403657915157177e-38,1.77735625285413e-89,1.1457784433782594e-16,0.6167714887506662,0.313357959026553,0.5539847876407378,0.5792058053045834,0.2228935903673903,2.9473394351130155e-47,1.9587369397222632e-11,1.3485325117944837e-36,1.330513326029106e-40,2.4664897471745567e-06,0.801933672053827,0.5536594840719078,0.4572427262179861,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
deepseek,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9071127041241088,0.8705469918829045,0.9206971205026472,0.9268357773893168,0.820229441974848,5.762320264848297e-166,2.352053087833284e-136,2.8620856092167502e-180,1.342943111539268e-187,8.01080900095055e-108,0.858049320292571,0.7602100640543324,0.8400475249631432,0.739766912126316,0.7249896636447167,2.9412283985297856e-128,1.0876806546327302e-83,7.244232796834255e-118,4.8766015095660034e-77,1.3130090628526013e-72,0.801933672053827,0.8890844071747651,0.7846126970162158,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
deepseek,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9315193868590238,0.8956184294054801,0.9199770942023742,0.9141436034298168,0.8246853330849709,1.2369382912530524e-193,1.7349059176812265e-155,1.8934355588329943e-179,4.5042490704919e-173,5.708907153694642e-110,0.8859348100234067,0.7841946409268626,0.8299115335875227,0.7164939707040359,0.7257730042088948,1.440363596003165e-147,2.1226415869864756e-92,1.443279031938117e-112,3.4387385235388806e-70,7.775455466917079e-73,0.801933672053827,0.8971887693963332,0.7884615918901445,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
deepseek,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6738928680022207,0.3691217924826952,0.5756980731467671,0.7810689728961742,0.359364850994713,2.7374583388018626e-59,1.3842124973197319e-15,5.035481175295634e-40,3.3421228666269815e-91,8.479429852067034e-15,0.6089410488819584,0.3176252764235259,0.5653977998025718,0.5924985243388781,0.2027261994574268,8.51649997228852e-46,1.0074906670614896e-11,2.2894748042711206e-38,7.39331747178339e-43,1.910583194174967e-05,0.801933672053827,0.5518293115045141,0.4574377697808722,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6804827676538574,0.3719927189353683,0.5848384268092055,0.7679288565359883,0.4191388613472664,7.453641220678379e-61,8.024865256745036e-16,1.517371068604949e-41,2.2318842685093064e-86,4.615810798214276e-20,0.6142051805936278,0.3192937100732598,0.5536593860090587,0.5866501261017231,0.2627890404343576,8.968308434558018e-47,7.746326702841905e-12,1.5112419694477526e-36,7.479572542399713e-42,2.3713378680524994e-08,0.801933672053827,0.5648763262563372,0.4673194886424054,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9046009198093156,0.8398134197600092,0.8738482679021159,0.8977730122807802,0.796899813600708,1.4560406368542964e-163,9.694658115804296e-118,1.233192187183356e-138,2.3500975291123176e-157,1.766153976514128e-97,0.8567004605074533,0.7475329893426452,0.8051695882181579,0.7241012951984471,0.7128259868897302,1.976275900400851e-127,1.7253713567001067e-79,5.515960411994654e-101,2.3733696721628483e-72,3.573852578357395e-69,0.801933672053827,0.8625870866705858,0.7692660640312867,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Likert Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9249324830781972,0.9003106034949082,0.9096153744665016,0.8935264499399008,0.6879156593516771,2.9295218140460583e-185,1.3078555039547934e-159,1.9847458916941463e-168,1.0338284298673189e-153,1.1404302588309822e-62,0.8833070706292823,0.7968153913293725,0.8384466649391776,0.7223821711441496,0.5594968731371069,1.527830888693374e-145,1.914131394534106e-97,5.263230267788083e-117,7.413710066609141e-72,1.9208988306923306e-37,0.801933672053827,0.863260114066237,0.7600896342358178,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4,Simple Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.6737321171439119,0.3527281789221249,0.580969352493034,0.761169317981842,0.4210750831079911,2.98548977525789e-59,2.8092249762000894e-14,6.77273039701208e-41,5.10549303874601e-84,2.98719072901201e-20,0.6085689216735838,0.300772360713087,0.5582202174941358,0.5916658190128853,0.2707195215043928,9.969501758799144e-46,1.3091517701791143e-10,3.0264749494774653e-37,1.0308412623773743e-42,8.541606814332709e-09,0.801933672053827,0.5579348099297807,0.4659893680796169,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4o,Elaborated Binary,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.685337202753858,0.3904621051353267,0.6098387561795413,0.7726924601682971,0.4435116094209212,4.931194342847434e-62,2.1080074865060348e-17,5.819051511437418e-46,4.336832080514753e-88,1.5636383699666988e-22,0.6190446601865128,0.3381959829085758,0.5806180463059475,0.5903074263113035,0.2920905529790487,1.0904736166748371e-47,3.513351557576215e-13,7.750396806688167e-41,1.7691956698830484e-42,4.60664015187552e-10,0.801933672053827,0.580368426731589,0.4840513337382776,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gpt_4o,Expanded Format,0.8845839782579082,0.7962419547822508,0.8399377903528379,0.7384592648174876,0.7504453720586505,1.606650089866126e-146,3.3028231923724224e-97,8.304859339507544e-118,1.2366297044974691e-76,1.969501825553151e-80,0.9169104535954022,0.901606284696754,0.931399029148832,0.9100395763092268,0.821305760265302,4.8724102483231576e-176,8.74740068914027e-161,1.7895989684524924e-193,7.466947807575295e-169,2.4577071560683733e-108,0.8786890457216497,0.7842842653673707,0.8287935794594482,0.7240691939670596,0.7340486585763659,4.250043947748699e-142,1.9599983199035955e-92,5.27622148841866e-112,2.424581299745686e-72,2.739137158912813e-75,0.801933672053827,0.8962522208031034,0.7899769486183789,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
