participant_id,bfi2_e,bfi2_a,bfi2_c,bfi2_n,bfi2_o,binary_personality
0,2.6666666666666665,3.8333333333333335,2.3333333333333335,3.75,3.9166666666666665,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are low in Conscientiousness. You tend to be spontaneous, flexible, and less focused on organization. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
1,3.25,2.8333333333333335,4.083333333333333,3.5,2.9166666666666665,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
2,2.6666666666666665,2.75,3.8333333333333335,3.8333333333333335,4.166666666666667,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
3,4.583333333333333,3.1666666666666665,2.9166666666666665,3.5833333333333335,4.25,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
4,2.75,4.333333333333333,2.5,3.0,4.333333333333333,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are low in Conscientiousness. You tend to be spontaneous, flexible, and less focused on organization. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
5,3.5,3.25,2.9166666666666665,2.8333333333333335,3.8333333333333335,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
6,2.8333333333333335,4.666666666666667,3.5833333333333335,2.6666666666666665,3.25,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
7,3.9166666666666665,3.1666666666666665,3.0833333333333335,3.0833333333333335,4.75,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
8,2.75,3.5833333333333335,2.6666666666666665,1.9166666666666667,3.0833333333333335,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are low in Neuroticism. You are emotionally stable, calm, and resilient under stress. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
9,4.166666666666667,4.5,3.6666666666666665,2.9166666666666665,2.9166666666666665,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
10,3.5833333333333335,3.6666666666666665,3.5,2.3333333333333335,3.1666666666666665,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are low in Neuroticism. You are emotionally stable, calm, and resilient under stress. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
11,2.5833333333333335,4.75,4.083333333333333,1.3333333333333333,3.0,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are low in Neuroticism. You are emotionally stable, calm, and resilient under stress. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
12,3.0833333333333335,3.1666666666666665,3.3333333333333335,3.3333333333333335,4.166666666666667,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
13,1.6666666666666667,4.5,4.583333333333333,3.1666666666666665,3.3333333333333335,"You are low in Extraversion. You are reserved, quiet, and prefer smaller social settings. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
14,2.75,4.25,2.5,2.9166666666666665,3.6666666666666665,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are low in Conscientiousness. You tend to be spontaneous, flexible, and less focused on organization. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
15,4.0,3.4166666666666665,3.25,4.25,4.083333333333333,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
16,2.6666666666666665,3.8333333333333335,3.4166666666666665,2.9166666666666665,3.5833333333333335,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
17,4.25,3.6666666666666665,3.8333333333333335,3.1666666666666665,2.75,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
18,3.5833333333333335,3.75,3.6666666666666665,2.9166666666666665,3.4166666666666665,"You are high in Extraversion. You are outgoing, sociable, assertive, and energetic. You are high in Agreeableness. You are compassionate, cooperative, trusting, and kind to others. You are high in Conscientiousness. You are organized, responsible, hardworking, and reliable. You are high in Neuroticism. You tend to experience anxiety, worry, and emotional sensitivity. You are high in Openness. You are curious, creative, open to new experiences, and intellectually engaged."
