participant_id,bfi2_e,bfi2_a,bfi2_c,bfi2_n,bfi2_o,binary_personality
0,2.6666666666666665,3.8333333333333335,2.3333333333333335,3.75,3.9166666666666665,You are high in Extraversion. You are high in Agreeableness. You are low in Conscientiousness. You are high in Neuroticism. You are high in Openness.
1,3.25,2.8333333333333335,4.083333333333333,3.5,2.9166666666666665,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
2,2.6666666666666665,2.75,3.8333333333333335,3.8333333333333335,4.166666666666667,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
3,4.583333333333333,3.1666666666666665,2.9166666666666665,3.5833333333333335,4.25,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
4,2.75,4.333333333333333,2.5,3.0,4.333333333333333,You are high in Extraversion. You are high in Agreeableness. You are low in Conscientiousness. You are high in Neuroticism. You are high in Openness.
5,3.5,3.25,2.9166666666666665,2.8333333333333335,3.8333333333333335,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
6,2.8333333333333335,4.666666666666667,3.5833333333333335,2.6666666666666665,3.25,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
7,3.9166666666666665,3.1666666666666665,3.0833333333333335,3.0833333333333335,4.75,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
8,2.75,3.5833333333333335,2.6666666666666665,1.9166666666666667,3.0833333333333335,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are low in Neuroticism. You are high in Openness.
9,4.166666666666667,4.5,3.6666666666666665,2.9166666666666665,2.9166666666666665,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
10,3.5833333333333335,3.6666666666666665,3.5,2.3333333333333335,3.1666666666666665,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are low in Neuroticism. You are high in Openness.
11,2.5833333333333335,4.75,4.083333333333333,1.3333333333333333,3.0,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are low in Neuroticism. You are high in Openness.
12,3.0833333333333335,3.1666666666666665,3.3333333333333335,3.3333333333333335,4.166666666666667,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
13,1.6666666666666667,4.5,4.583333333333333,3.1666666666666665,3.3333333333333335,You are low in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
14,2.75,4.25,2.5,2.9166666666666665,3.6666666666666665,You are high in Extraversion. You are high in Agreeableness. You are low in Conscientiousness. You are high in Neuroticism. You are high in Openness.
15,4.0,3.4166666666666665,3.25,4.25,4.083333333333333,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
16,2.6666666666666665,3.8333333333333335,3.4166666666666665,2.9166666666666665,3.5833333333333335,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
17,4.25,3.6666666666666665,3.8333333333333335,3.1666666666666665,2.75,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
18,3.5833333333333335,3.75,3.6666666666666665,2.9166666666666665,3.4166666666666665,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
19,3.0,3.0833333333333335,3.0833333333333335,1.9166666666666667,3.0833333333333335,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are low in Neuroticism. You are high in Openness.
20,4.0,3.6666666666666665,3.5,2.9166666666666665,4.25,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
21,3.5,3.8333333333333335,3.5,3.1666666666666665,4.416666666666667,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are high in Neuroticism. You are high in Openness.
22,2.1666666666666665,3.5833333333333335,3.3333333333333335,2.4166666666666665,3.25,You are low in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are low in Neuroticism. You are high in Openness.
23,3.0,3.3333333333333335,3.0833333333333335,1.8333333333333333,3.0833333333333335,You are high in Extraversion. You are high in Agreeableness. You are high in Conscientiousness. You are low in Neuroticism. You are high in Openness.
