model,format,n_participants,avg_correlation,E_correlation,E_p_value,A_correlation,A_p_value,C_correlation,C_p_value,N_correlation,N_p_value,O_correlation,O_p_value
gpt_4,likert,200,0.8391837571334111,0.9241025228460862,1.169681898393982e-84,0.9015075718101924,5.959093674636314e-74,0.8828860653454786,6.402816087431459e-67,0.8121947984319612,3.1741156563966634e-48,0.675227827233337,5.632107381804563e-28
openai_gpt_3.5_turbo_0125,likert,200,0.7137961451368581,0.8643117788415331,5.2319667571077975e-61,0.6349853819760958,5.6718811590709765e-24,0.8500947508580765,4.7954865717287664e-57,0.7073518318407144,1.1735347182853086e-31,0.5122369821678703,8.96863363259096e-15
gpt_4o,likert,200,0.8984689427370263,0.9255668536451317,1.83004462414162e-85,0.876693503163738,7.640321778328502e-65,0.9188527479467771,6.739765156493792e-82,0.9061147258035502,6.566121811228558e-76,0.8651168831259342,3.0266236581304955e-61
llama,likert,200,0.8934333197274367,0.9346280775015834,7.568190993937021e-91,0.8554560710028143,1.724534356932985e-58,0.9032889247802216,1.07116458440427e-74,0.8552996643819162,1.9038132274452266e-58,0.9184938609706474,1.0244812944230496e-81
deepseek,likert,200,0.8807154585938222,0.9404094452349947,1.0555254700119695e-94,0.8674924519366807,5.895628008126966e-62,0.9220813908946613,1.4249242493619868e-83,0.854473130209791,3.204581180910779e-58,0.8191208746929823,1.1127644951829537e-49
gpt_4,expanded,200,0.8486716097317478,0.9094977605865393,2.0609830131642523e-77,0.8228872604639621,1.6929374141127637e-50,0.8392981116513379,2.6599518827135915e-54,0.8300940986558079,4.0594184213229545e-52,0.841580817301092,7.276622986248167e-55
openai_gpt_3.5_turbo_0125,expanded,200,0.7657123246623259,0.8690844838072849,1.9350039199379237e-62,0.6909386884798807,1.0241220822372217e-29,0.7126675755649283,2.5811090457730526e-32,0.7222615256632647,1.5352353319462058e-33,0.8336093497962709,6.1700105956880675e-53
gpt_4o,expanded,200,0.9011306525856941,0.9199339665714188,1.886404653052231e-82,0.8953749831357214,1.7228858127303364e-71,0.9160827705137771,1.6254896960929813e-80,0.901160953210344,8.289946525009114e-74,0.8731005894972095,1.089858576151884e-63
llama,expanded,200,0.8936825607332954,0.9223250911663093,1.057903034199968e-83,0.8657978583507614,1.8997649550837216e-61,0.9180640267988674,1.687392553734784e-81,0.8793999243893522,9.762258033418605e-66,0.8828259029611873,6.715954161795824e-67
deepseek,expanded,200,0.8839946268966854,0.904020282917572,5.243837979165402e-75,0.843164321330931,2.9251737860475036e-55,0.9175586838636594,3.023311600236506e-81,0.8957913632869677,1.185906578041855e-71,0.8594384830842969,1.3355373902310162e-59
binary_gpt_4,binary_simple,200,0.5493440707109687,0.6509347524012239,1.7363294119678213e-25,0.2690780828971521,0.00011678065280342062,0.6094527933331589,1.0031000809171139e-21,0.7563036104548853,2.4331734989999993e-38,0.4609511144684233,6.483579401540221e-12
binary_openai_gpt_3.5_turbo_0125,binary_simple,200,0.4074092118734324,0.6006791587281858,5.34135044434562e-21,0.10296156093627185,0.14682772527914312,0.458749082436813,8.3990322406154e-12,0.46386957156688635,4.587573642974927e-12,0.4107866856990052,1.5240065209632421e-09
binary_gpt_4o,binary_simple,200,0.5465811849728415,0.6546546189722557,7.470291949428227e-26,0.22692801722292846,0.0012318855789188014,0.6202407949309396,1.1934139917819282e-22,0.7538287240064158,5.772750873792895e-38,0.4772537697316679,8.996818235413298e-13
binary_llama,binary_simple,200,0.5299550343315035,0.6606889232123515,1.8537390866973517e-26,0.1804934671450995,0.010539599947324063,0.6196172458632512,1.3527126411228501e-22,0.72509176121809,6.527163698475897e-34,0.4638837742187256,4.5798205526101976e-12
binary_deepseek,binary_simple,200,0.539608645546163,0.6560789354273536,5.391584207018012e-26,0.2577091692537714,0.00022947739557850486,0.5824040493478202,1.4824990713952881e-19,0.7509456834737195,1.5591758425023839e-37,0.45090539022815007,2.08057534435277e-11
binary_gpt_4,binary_elaborated,200,0.5504770590578145,0.6561060314682039,5.358149023843204e-26,0.2754758003518263,7.878724241640909e-05,0.6231647010215942,6.606974683577711e-23,0.747217356008659,5.523768114028827e-37,0.45042140643878936,2.19869284469033e-11
binary_openai_gpt_3.5_turbo_0125,binary_elaborated,200,0.43437885881856164,0.6497467209138129,2.2674642572117793e-25,0.19842724232897213,0.0048526158000592075,0.4975197645575117,6.64572032154674e-14,0.48692560012402425,2.6506750408441594e-13,0.33927496616848724,8.898667963141253e-07
binary_gpt_4o,binary_elaborated,200,0.5552205346534649,0.6500012323192542,2.1416720865482356e-25,0.2751808275280168,8.02471124287655e-05,0.6122503064603296,5.820893326229057e-22,0.7665299970407806,6.121772157585584e-40,0.4721403099189436,1.6905277817452019e-12
binary_llama,binary_elaborated,200,0.5332437156006902,0.6538930072742701,8.886947543241648e-26,0.22734564337751006,0.0012058188049681275,0.5886822803026157,4.8462689767940135e-20,0.7279651028130198,2.709207022083048e-34,0.46833254423603465,2.6858107492446527e-12
binary_deepseek,binary_elaborated,200,0.5490149084723616,0.6564766847775622,4.920746436140723e-26,0.23018723313330836,0.001041459321442885,0.6061518373892186,1.8933998066010158e-21,0.7485605773607206,3.5110408248238813e-37,0.5036982097009979,2.900443249722972e-14
