format,scenario_type,target_measure,model,predictor,standardized_coefficient,p_value,r_squared,adj_r_squared,std_error,t_statistic,n_valid
human_baseline,moral,ethic_sum,human,openness,-0.031679751019530314,0.5910662033242355,0.001003606624659814,-0.0024651308523380155,0.05889598863248418,-0.5378931868724468,290
human_baseline,moral,ethic_sum,human,conscientiousness,0.2109345511866565,0.00029762791107086286,0.0444933848843162,0.04117565358183106,0.05759975088908818,3.6620740182162206,290
human_baseline,moral,ethic_sum,human,extraversion,0.008579547207391604,0.8843349934588629,7.360863028404996e-05,-0.003398358006416524,0.05892339634390061,0.1456051032312856,290
human_baseline,moral,ethic_sum,human,agreeableness,0.047473260679392726,0.4205870898669408,0.0022537104795334884,-0.0012106863590792827,0.05885912706295203,0.806557335256065,290
human_baseline,moral,ethic_sum,human,neuroticism,-0.14850271654758554,0.011340017147132068,0.022053056822012862,0.018657407713755902,0.058272198416199184,-2.548431680694975,290
human_baseline,risk,risk_sum,human,openness,-0.1417524050559686,0.015703203463680548,0.02009374433915101,0.01669129206255071,0.058330543256514995,-2.4301574636909646,290
human_baseline,risk,risk_sum,human,conscientiousness,0.03503735189573808,0.5523314354340257,0.0012276160278659187,-0.0022403436387041786,0.05888938500757086,0.5949688877075835,290
human_baseline,risk,risk_sum,human,extraversion,-0.23973711743074222,3.703158415925064e-05,0.05747388547400134,0.05420122535411931,0.05720716843090503,-4.190683160980033,290
human_baseline,risk,risk_sum,human,agreeableness,0.03491103415339147,0.5537659723556707,0.0012187803056586954,-0.0022492100405022697,0.058889645491893634,0.5928212652969204,290
human_baseline,risk,risk_sum,human,neuroticism,0.18900443618146537,0.0012210154412050523,0.03572267689627362,0.03237449174660778,0.057863504471002296,3.2663841899894432,290
bfi_expanded,moral,ethic_sum,gpt-4,openness,0.009753125870147521,0.8686477640722203,9.512346423945495e-05,-0.003376768468176472,0.05892276243028523,0.165523907364102,290
bfi_expanded,moral,ethic_sum,gpt-4,conscientiousness,0.2371107544603535,4.528319975813763e-05,0.05622150988075847,0.052944501234511,0.05724516264495515,4.142022548367227,290
bfi_expanded,moral,ethic_sum,gpt-4,extraversion,-0.07440535901473547,0.20646088403295185,0.005536157450112489,0.0020831579968141334,0.05876222811720313,-1.2662106492342602,290
bfi_expanded,moral,ethic_sum,gpt-4,agreeableness,-0.03882193805843751,0.510212541165143,0.0015071428746131765,-0.0019598462126277916,0.058881143732445684,-0.6593271733110916,290
bfi_expanded,moral,ethic_sum,gpt-4,neuroticism,-0.1015109214710381,0.08440806654255724,0.010304467177899679,0.006868024355600633,0.05862118066278558,-1.7316423914245755,290
bfi_expanded,moral,ethic_sum,gpt-4o,openness,0.03745635366040332,0.5252152656590163,0.001402978429533075,-0.0020643723398088287,0.05888421494205299,0.6361017752765069,290
bfi_expanded,moral,ethic_sum,gpt-4o,conscientiousness,0.5717540143141164,1.4283714023745093e-26,0.3269026528843063,0.32456550931793227,0.048344012725196256,11.826780237796145,290
bfi_expanded,moral,ethic_sum,gpt-4o,extraversion,-0.031520239117621106,0.5929369141880845,0.0009935254740319754,-0.002475247006961112,0.058896285799640555,-0.5351821203946527,290
bfi_expanded,moral,ethic_sum,gpt-4o,agreeableness,0.017949223182292043,0.7608470560725348,0.00032217461284800297,-0.0031489289475241655,0.0589160721736612,0.30465749871079073,290
bfi_expanded,moral,ethic_sum,gpt-4o,neuroticism,-0.3062985513015244,1.0262663690810467e-07,0.0938188025294131,0.09067234003819569,0.056093337315739226,-5.460515739639904,290
bfi_expanded,moral,ethic_sum,llama,openness,-0.03898020338835028,0.5084883234220494,0.0015194562561972047,-0.0019474900762466163,0.05888078067114733,-0.662019133306962,290
bfi_expanded,moral,ethic_sum,llama,conscientiousness,0.5107791806564562,1.1301655435979707e-20,0.2608953713920804,0.2583290358760806,0.050659012189340234,10.082691283979187,290
bfi_expanded,moral,ethic_sum,llama,extraversion,0.06464154888341982,0.27255418319509994,0.004178529842047918,0.000720816403999347,0.0588023251075027,1.099302600113887,290
bfi_expanded,moral,ethic_sum,llama,agreeableness,0.11982986918991821,0.04143315806208909,0.014359197550073421,0.010936833652677724,0.05850097347391391,2.0483397467454347,290
bfi_expanded,moral,ethic_sum,llama,neuroticism,-0.27851984792168255,1.4484974992282037e-06,0.07757330568631748,0.07437043521995046,0.056593908385681756,-4.921375036048014,290
bfi_expanded,moral,ethic_sum,deepseek,openness,-0.05127251807438753,0.38433273291647874,0.0026288711096885686,-0.0008342230878473078,0.05884806026995114,-0.8712694664732762,290
bfi_expanded,moral,ethic_sum,deepseek,conscientiousness,0.3795845674835307,2.2600962266116812e-11,0.1440844438716592,0.14111251485732457,0.05451540162499511,6.962886747026965,290
bfi_expanded,moral,ethic_sum,deepseek,extraversion,0.04488697429960045,0.4463703266363577,0.0020148404617725824,-0.0014503857866241532,0.05886617236067435,0.7625257851755157,290
bfi_expanded,moral,ethic_sum,deepseek,agreeableness,0.07394755933427201,0.20927463688631676,0.005468241531495721,0.002015006259035501,0.0587642346368953,1.2583769667246516,290
