model,target,predictor,coefficient,p_value,r_squared,n_observations
gpt-4,Confidential_Info,openness,0.001967522142165761,0.7491525986503145,0.00045736397016127306,226
gpt-4,Confidential_Info,conscientiousness,0.008076523380136733,0.2431081188401015,0.006077542264745328,226
gpt-4,Confidential_Info,extraversion,0.004451835416655883,0.5066248200320695,0.0019713457797034817,226
gpt-4,Confidential_Info,agreeableness,0.009131532499367498,0.3180444955342291,0.004450772295351402,226
gpt-4,Confidential_Info,neuroticism,-0.003693734657564815,0.5202719455290246,0.0018477449783917965,226
gpt-4,Underage_Drinking,openness,0.005106172455494506,0.1358002665218928,0.009905441383802005,226
gpt-4,Underage_Drinking,conscientiousness,0.006558721833432733,0.08862614576248157,0.012887767300611808,226
gpt-4,Underage_Drinking,extraversion,-0.0006143071049812075,0.8695328606878876,0.00012070238927619492,226
gpt-4,Underage_Drinking,agreeableness,0.0008569158300917398,0.8667092135237271,0.00012603308082959064,226
gpt-4,Underage_Drinking,neuroticism,0.0021062358089329715,0.5109120622904864,0.0019319007426134016,226
gpt-4,Exam_Cheating,openness,0.011325821666742668,0.30593686653096114,0.004678649756338582,226
gpt-4,Exam_Cheating,conscientiousness,0.008833511494020686,0.4785380134370285,0.002244420570194805,226
gpt-4,Exam_Cheating,extraversion,0.01064069085860863,0.3776227898163076,0.0034768236558561094,226
gpt-4,Exam_Cheating,agreeableness,-0.008673768804851044,0.5985099333857171,0.001239715773164507,226
gpt-4,Exam_Cheating,neuroticism,-0.008429329399431815,0.41482274979998757,0.0029706747019746516,226
gpt-4,Honest_Feedback,openness,0.015807213666871316,0.26146089608271883,0.005626175068148331,226
gpt-4,Honest_Feedback,conscientiousness,-0.027186116642475208,0.08574172945614694,0.013123610510837547,226
gpt-4,Honest_Feedback,extraversion,0.019875203690779306,0.19493020749404502,0.007488376744536507,226
gpt-4,Honest_Feedback,agreeableness,-0.02280212218358488,0.2762905594625024,0.005289059797663032,226
gpt-4,Honest_Feedback,neuroticism,-0.007777545473552179,0.5545574908311001,0.0015612615434378307,226
