model,target,predictor,coefficient,p_value,r_squared,n_observations
gpt-4,Investment,openness,0.011349608100542948,0.308171889464626,0.003918547815502604,267
gpt-4,Investment,conscientiousness,0.005898786300940721,0.6300077354866334,0.0008769302857573047,267
gpt-4,Investment,extraversion,0.012844776397443226,0.27795714964465673,0.004440200674009742,267
gpt-4,Investment,agreeableness,0.036855209173475394,0.017174119380779916,0.021239857579569033,267
gpt-4,Investment,neuroticism,-0.009338917771416589,0.3457992186966997,0.0033547036005875386,267
gpt-4,Extreme_Sports,openness,0.012671390026353131,0.19069182305996007,0.006452663304255868,267
gpt-4,Extreme_Sports,conscientiousness,-0.008272847306662461,0.4372871861071269,0.0022786458307196833,267
gpt-4,Extreme_Sports,extraversion,0.0017182060566544363,0.8676657271269971,0.00010496078268429354,267
gpt-4,Extreme_Sports,agreeableness,0.03038538415681856,0.02401621305709536,0.01907262062289783,267
gpt-4,Extreme_Sports,neuroticism,-0.004349825428608351,0.613973382117924,0.0009614612274363443,267
gpt-4,Entrepreneurial_Venture,openness,0.013124344323547808,0.3752994608184699,0.002967387353110862,267
gpt-4,Entrepreneurial_Venture,conscientiousness,-0.0009641708876340774,0.9527608091090101,1.32679358236798e-05,267
gpt-4,Entrepreneurial_Venture,extraversion,0.026158180907915992,0.0958770867000253,0.01042845977212603,267
gpt-4,Entrepreneurial_Venture,agreeableness,0.03861305787525223,0.06079700969572607,0.013203158051488972,267
gpt-4,Entrepreneurial_Venture,neuroticism,-0.002385795444362912,0.8562891602216276,0.00012398897005871934,267
gpt-4,Confessing_Feelings,openness,0.011401109441895386,0.31217438102977874,0.003854373114290044,267
gpt-4,Confessing_Feelings,conscientiousness,0.01716765010853921,0.16563240356711542,0.007240316563673965,267
gpt-4,Confessing_Feelings,extraversion,0.02844805504779425,0.017200116168355355,0.02123003772102383,267
gpt-4,Confessing_Feelings,agreeableness,0.020594732966300777,0.19027022252742407,0.006464906897907685,267
gpt-4,Confessing_Feelings,neuroticism,-0.01654314430529063,0.0985973341306951,0.010261084711885804,267
gpt-4,Study_Overseas,openness,0.00812433659834668,0.5367611871421254,0.001441587008749745,267
