model,target,predictor,coefficient,p_value,r_squared,n_observations
gpt-4,Confidential_Info,openness,-0.0017299300560283226,0.7666869259610511,0.00033278936247638224,267
gpt-4,Confidential_Info,conscientiousness,0.0076583515475223615,0.2312669399836603,0.005403302324592296,267
gpt-4,Confidential_Info,extraversion,0.0022307862473658095,0.718927039347193,0.0004895694920055149,267
gpt-4,Confidential_Info,agreeableness,0.005361213110976332,0.5095830880713331,0.0016429672617174207,267
gpt-4,Confidential_Info,neuroticism,-0.0005649335520838878,0.9132434966070999,4.487502644401342e-05,267
gpt-4,Underage_Drinking,openness,0.002365199101610591,0.4494990587482588,0.0021599079089574813,267
gpt-4,Underage_Drinking,conscientiousness,0.004844166113403013,0.1580424354412655,0.007506097522110067,267
gpt-4,Underage_Drinking,extraversion,-0.001882080359533762,0.5714740544173946,0.0012099355343754281,267
gpt-4,Underage_Drinking,agreeableness,-0.0005811070088519477,0.8940794637825091,6.70196987734295e-05,267
gpt-4,Underage_Drinking,neuroticism,0.003044613051064782,0.27338147201357427,0.004525448907676588,267
gpt-4,Exam_Cheating,openness,0.007479539804614194,0.4691874752847598,0.001978712071378008,267
gpt-4,Exam_Cheating,conscientiousness,0.008657956181510426,0.4456756124258969,0.002196544159389302,267
gpt-4,Exam_Cheating,extraversion,0.007065223718986167,0.5202170017362165,0.0015619630884292635,267
gpt-4,Exam_Cheating,agreeableness,-0.006794443414705083,0.6374478267747588,0.0008393267030407658,267
gpt-4,Exam_Cheating,neuroticism,-0.003962070027322076,0.6664686482849662,0.0007020608811187934,267
gpt-4,Honest_Feedback,openness,0.012070626879477105,0.35954174155407814,0.0031688488355081645,267
gpt-4,Honest_Feedback,conscientiousness,-0.02630023199779174,0.06855417909430774,0.012463423560901132,267
gpt-4,Honest_Feedback,extraversion,0.013295649035382932,0.34246449818677427,0.0034013164456589973,267
gpt-4,Honest_Feedback,agreeableness,-0.02266167048226875,0.21716988317767877,0.005741377889078025,267
gpt-4,Honest_Feedback,neuroticism,-0.0015017375677960569,0.8980850937586617,6.201940491390445e-05,267
gpt-4,Workplace_Theft,openness,0.0071015199590873926,0.6625027065686606,0.0007199574943078657,267
gpt-4,Workplace_Theft,conscientiousness,-0.02865191379528969,0.10817610826562224,0.009709297950046936,267
gpt-4,Workplace_Theft,extraversion,0.018758222822480273,0.2777513858235898,0.004443996374565495,267
gpt-4,Workplace_Theft,agreeableness,-0.010119778177427981,0.6556504062989428,0.0007515132450161,267
gpt-4,Workplace_Theft,neuroticism,-0.0026580795680599496,0.8542697694846492,0.0001275374765546955,267
gpt-4,moral_sum,openness,0.027286955688761005,0.49245544352891635,0.0017797220795374713,267
gpt-4,moral_sum,conscientiousness,-0.03379167195064559,0.43904995058741614,0.002261193362568803,267
gpt-4,moral_sum,extraversion,0.03946780146468138,0.35021339818481234,0.003293926993771179,267
gpt-4,moral_sum,agreeableness,-0.03479578597227764,0.5303277198337635,0.001487598525406253,267
gpt-4,moral_sum,neuroticism,-0.0056422076641972786,0.8732512658103353,9.62138919993194e-05,267
gpt-4o,Confidential_Info,openness,0.011792004622760352,0.31483428507983213,0.0038123130361334967,267
gpt-4o,Confidential_Info,conscientiousness,-0.012520234534102118,0.33139403620321917,0.0035605289830008546,267
gpt-4o,Confidential_Info,extraversion,-0.022826555204973873,0.06663279360744662,0.01263805111606886,267
gpt-4o,Confidential_Info,agreeableness,-0.022244375535395034,0.17367539862276757,0.006973392810663781,267
gpt-4o,Confidential_Info,neuroticism,0.009945600198113662,0.34050142540278394,0.0034290427499579224,267
gpt-4o,Underage_Drinking,openness,-0.0004758723940965481,0.9100727744458081,4.822925218250784e-05,267
gpt-4o,Underage_Drinking,conscientiousness,-0.00963238420624671,0.03666367984128817,0.016370932683536066,267
gpt-4o,Underage_Drinking,extraversion,-0.00457043393216824,0.307108670795173,0.00393577676883361,267
gpt-4o,Underage_Drinking,agreeableness,-0.010991939645023867,0.06056086359243361,0.013227220560003694,267
gpt-4o,Underage_Drinking,neuroticism,0.004361637305328042,0.2437931475511727,0.005123022165636537,267
gpt-4o,Exam_Cheating,openness,0.0028593544718872018,0.7225833021666827,0.0004763731741308508,267
gpt-4o,Exam_Cheating,conscientiousness,-0.014351599740401089,0.10401248438872499,0.00994233180515447,267
gpt-4o,Exam_Cheating,extraversion,-0.008667291504150715,0.3110522354136571,0.0038722571510740877,267
gpt-4o,Exam_Cheating,agreeableness,-0.012370565928093094,0.2703284163853049,0.00458332715721399,267
gpt-4o,Exam_Cheating,neuroticism,0.0014746517125592072,0.836899314204929,0.00016020934809657383,267
gpt-4o,Honest_Feedback,openness,-0.011983332105884707,0.08533338941203296,0.011129532249220309,267
gpt-4o,Honest_Feedback,conscientiousness,-0.012996725175863241,0.08944002802680658,0.01084590800510088,267
gpt-4o,Honest_Feedback,extraversion,-0.017508062732131003,0.01777238885202983,0.02101764206557455,267
gpt-4o,Honest_Feedback,agreeableness,-0.018674575065499865,0.054391954023482465,0.013893561834744106,267
gpt-4o,Honest_Feedback,neuroticism,0.00048510155770140344,0.9377474996872741,2.306134815066585e-05,267
gpt-4o,Workplace_Theft,openness,0.004838036006647802,0.5497950666519127,0.0013513874177530916,267
gpt-4o,Workplace_Theft,conscientiousness,-0.003843629012405439,0.6654472635331161,0.0007066444109218306,267
gpt-4o,Workplace_Theft,extraversion,0.010379676093562652,0.2270012446846821,0.005502947421968218,267
gpt-4o,Workplace_Theft,agreeableness,-0.011882636422384706,0.29193027023132107,0.004190421574424952,267
gpt-4o,Workplace_Theft,neuroticism,-0.010857151236011083,0.1305471828967805,0.008605400474179126,267
gpt-4o,moral_sum,openness,0.007030190601314142,0.8016101526245638,0.00023866107138281745,267
gpt-4o,moral_sum,conscientiousness,-0.053344572669018674,0.08181794055781047,0.011384243894240087,267
gpt-4o,moral_sum,extraversion,-0.04319266727986118,0.1457198373405763,0.00796991182582174,267
gpt-4o,moral_sum,agreeableness,-0.07616409259639657,0.05015437323342889,0.014399199589866574,267
gpt-4o,moral_sum,neuroticism,0.005409839537691209,0.827884932819901,0.0001786955701058579,267
llama,Confidential_Info,openness,0.0036723031451353916,0.12056288417270312,0.009070092683196251,267
llama,Confidential_Info,conscientiousness,-0.0007525008765188997,0.7726515572229147,0.0003155186390803033,267
llama,Confidential_Info,extraversion,-0.0022130307722758335,0.37963275489442805,0.0029140410394200567,267
llama,Confidential_Info,agreeableness,-0.0002023855444623049,0.9511993260096279,1.4160678899921564e-05,267
llama,Confidential_Info,neuroticism,-6.08922610213225e-05,0.9769605812301101,3.1532362391173407e-06,267
llama,Underage_Drinking,openness,0.002417730469790053,0.05085326054876111,0.014312781450730894,267
llama,Underage_Drinking,conscientiousness,0.00021353494513372772,0.8757041744796374,9.24959062469366e-05,267
llama,Underage_Drinking,extraversion,-0.0011494487070521288,0.38392601019407413,0.002862025815983271,267
llama,Underage_Drinking,agreeableness,0.00042731403323319537,0.8052434606147642,0.00022982274296945437,267
llama,Underage_Drinking,neuroticism,-0.00014398270415406163,0.8963316768284009,6.418396710972107e-05,267
llama,Exam_Cheating,openness,-0.0025405611689156577,0.524969888074724,0.0015266887862427359,267
llama,Exam_Cheating,conscientiousness,-0.0009874825628668421,0.8221143782271284,0.00019108491303632125,267
llama,Exam_Cheating,extraversion,-0.004439159845847541,0.2958172455888589,0.00412362204952077,267
llama,Exam_Cheating,agreeableness,-0.0012568943838012479,0.8216601278765359,0.00019207869466120187,267
llama,Exam_Cheating,neuroticism,-0.00236461552748584,0.5058268824334788,0.0016722835235494227,267
llama,Honest_Feedback,openness,-0.0061917487640966015,0.18979645139989906,0.006478703178099177,267
llama,Honest_Feedback,conscientiousness,-0.0032207410501815716,0.5352539832568346,0.0014522767085292099,267
llama,Honest_Feedback,extraversion,-0.005650607179033397,0.26059007500280984,0.004773509015080779,267
llama,Honest_Feedback,agreeableness,-0.006575025423431722,0.318486014778503,0.0037553180453673285,267
llama,Honest_Feedback,neuroticism,-0.00045883031465211786,0.913138117895738,4.498453868240215e-05,267
llama,Workplace_Theft,openness,0.01594275522905992,0.042971926710500534,0.015368353341972507,267
llama,Workplace_Theft,conscientiousness,0.009765726988579176,0.26039845497979547,0.0047773390255367865,267
llama,Workplace_Theft,extraversion,0.014125499190816048,0.09204484387189543,0.010673190767463758,267
llama,Workplace_Theft,agreeableness,0.022220830682450003,0.0431208773975751,0.015346579058035714,267
