self_BFI_1,self_BFI_2,self_BFI_3,self_BFI_4,self_BFI_5,self_BFI_6,self_BFI_7,self_BFI_8,self_BFI_9,self_BFI_10,self_BFI_11,self_BFI_12,self_BFI_13,self_BFI_14,self_BFI_15,self_BFI_16,self_BFI_17,self_BFI_18,self_BFI_19,self_BFI_20,self_BFI_21,self_BFI_22,self_BFI_23,self_BFI_24,self_BFI_25,self_BFI_26,self_BFI_27,self_BFI_28,self_BFI_29,self_BFI_30,self_BFI_31,self_BFI_32,self_BFI_33,self_BFI_34,self_BFI_35,self_BFI_36,self_BFI_37,self_BFI_38,self_BFI_39,self_BFI_40,self_BFI_41,self_BFI_42,self_BFI_43,self_BFI_44,self_BFI_45,self_BFI_46,self_BFI_47,self_BFI_48,self_BFI_49,self_BFI_50,self_BFI_51,self_BFI_52,self_BFI_53,self_BFI_54,self_BFI_55,self_BFI_56,self_BFI_57,self_BFI_58,self_BFI_59,self_BFI_60,self_condition,self_Part_ID,self_BRF_1_1,self_BRF_2_1,self_BRF_3,self_BRF_4,self_BRF_4_1,self_BRF_4_2,self_BRF_5,self_BRF_6,self_IR_1,self_IR_2,self_IR_3,self_IR_4,self_IR_5,self_IR_6,self_IR_7,self_IR_8,self_IR_9,self_IR_10,self_IR_11,self_IR_12,self_MIRW_1,self_MIRW_2,self_V_Q1,self_DB_1,self_DB_2,self_DB_3,self_DB_4,self_DB_5,self_DB_6,self_GLTEQ_1,self_GLTEQ_2,self_GLTEQ_3,self_RB_1,self_RB_2,self_RB_3,self_RB_4,self_RB_5,self_RB_2_1,self_RB_2_2,self_RB_3.1,self_RB_4.1,self_PATH_1.1_1,self_PATH_1.1_2,self_PATH_1.1_3,self_PATH_1.1_4,self_PATH_1.1_5,self_PATH_1.1_6,self_PATH_1.1_7,self_PATH_1.1_8,self_PATH_1.1_9,self_PATH_1.1_10,self_CA_1.7.1_1,self_CA_1.7.1_2,self_CA_1.7.1_3,self_CA_1.7.1_4,self_CA_1.7.1_5,self_CA_1.7.1_6,self_CA_1.7.1_7,self_CA_8,self_D_1,self_D_2,self_D_3,self_D_3_7_TEXT,self_D_4,self_D_5,self_D_6,self_D_7_1,self_peer.rating,self_ext_total,self_agr_total,self_con_total,self_neu_total,self_ope_total
4,5,4,3,4,2,5,3,2,3,4,4,4,4,4,3,5,4,3,5,2,5,2,2,4,3,5,3,4,4,4,5,4,4,5,2,5,3,3,4,3,4,5,4,5,4,5,3,2,3,2,5,3,2,4,5,5,3,5,3,IS,5018,7,5,1,2,77.30%,,1,1,1,1,4,3,5,5,5,4,6,5,4,3,170,88,84,2,1,2,1,1,1,3,5,7,4,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,20,7,Mixed: European and South Asian,Germany,English,15,5,1,38,58,41,38,48
3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,2,3,3,4,4,3,2,3,4,3,4,3,4,4,3,2,3,3,4,3,3,4,3,4,4,3,3,4,2,3,2,4,4,3,3,4,4,4,3,3,3,3,2,3,3,IS,5041,5,5,1,2,90,,02-Jan,2,1,1,3,3,4,5,4,5,4,6,5,4,162,135,144,2,2,1,1,1,1,1,2,4,3,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,20,7,White,Canada,English,15,5,1,35,40,40,41,38
4,4,4,3,4,3,5,3,3,2,4,4,5,3,3,4,5,4,3,2,4,5,4,2,5,2,5,3,3,3,5,5,3,4,3,4,5,3,3,3,3,4,5,3,5,5,4,3,1,2,3,5,5,2,2,3,4,5,3,3,E,5053,7,5,2,2,80,,1,1,1,1,2,2,4,4,4,4,4,4,3,2,161,52,80 days ,2,1,1,1,2,1,1,2,3,2,1,2,0,0,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,21,7,South East Asian ,Thailand,Thai,14.5,5,1,44,55,47,33,37
4,4,4,4,4,3,4,4,3,4,5,2,5,4,2,4,5,4,2,4,2,5,2,2,4,4,4,2,2,NA,2,4,4,4,4,4,4,4,2,4,4,2,4,2,4,4,5,5,4,4,4,4,5,2,5,5,2,2,4,4,O,5048,6,5,1,2,4,,3,1,1,1,3,3,5,5,5,4,6,5,5,3,165,50,10,3,1,1,1,1,1,1,7,15,0,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,4,2,20,2,NA,China,English,15,5,1,45,45,45,35,43
3,4,5,3,2,1,5,3,2,4,4,4,5,2,5,2,5,5,3,2,2,5,3,1,2,5,4,4,2,3,2,5,5,4,4,4,5,4,2,4,3,2,4,1,4,2,5,5,2,2,3,5,5,1,3,3,2,5,1,3,O,5049,7,5,0,2,73%,,0~1,2,1,1,3,3,6,5,5,5,6,6,1,3,166cm,51kg,6,1,1,1,1,1,1,2,1,5,0,0,0,0,0,2,0,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,3,2,21,2,NA,China,Mandarin,14,3,1,34,51,53,24,38
5,5,5,2,3,3,5,2,2,5,5,4,5,4,4,2,4,5,2,2,4,3,4,2,4,3,4,4,4,2,2,4,5,4,4,4,5,5,3,4,4,2,5,2,2,4,5,5,4,3,2,5,5,4,4,5,5,3,4,2,O,5034,6,6,1,2,83,,1,2,1,1,3,3,5,5,5,5,6,5,3,2,165,50,150,2,1,2,1,1,1,0,2,7,2,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,NA,2,21,1,NA,France,French,16,5,1,43,51,53,37,39
3,4,4,2,4,4,5,2,5,4,2,3,4,3,2,2,5,4,4,4,3,4,3,5,3,4,2,5,4,4,3,3,4,5,4,4,4,3,5,3,2,2,5,1,4,3,4,4,3,1,3,5,4,5,4,2,2,5,2,2,IS,5028,5,4,4,1,,94,2,2,1,1,4,4,2,1,3,3,4,4,1,4,168,53,0,1,2,1,1,1,1,4,6,7,2,1,2,0,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,19,1,NA,Canada,english,13,5,1,35,43,47,44,39
3,5,4,4,4,NA,4,3,4,4,2,3,2,3,5,3,5,4,4,2,2,5,1,3,4,3,3,4,2,4,3,4,4,5,2,3,4,2,3,5,3,3,4,2,5,3,4,2,4,3,2,5,4,3,4,3,4,2,3,3,E,5054,6,5,0,2,88,,1,2,1,1,6,6,4,4,3,4,4,5,5,3,160,55,45,2,1,2,1,2,1,0,1,1,1,0,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,21,2,NA,Canada,English,16,5,1,30,49,36,40,45
2,5,2,3,1,4,5,2,4,4,4,2,4,4,4,1,1,4,2,5,2,5,2,2,4,4,2,2,4,5,1,5,4,3,5,4,5,4,2,4,2,2,5,4,5,2,4,4,4,4,1,5,4,2,4,4,5,4,4,4,O,5057,6,4,4,2,63.8,,1,1,1,1,7,7,6,4,5,4,6,6,3,2,164,57,4,1,1,1,1,2,1,1,2,4,4,1,0,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,19,2,NA,Canada,English,14,4,1,31,46,41,38,49
3,4,2,4,5,3,4,2,2,4,4,3,2,3,5,3,4,2,3,5,3,4,2,3,4,2,3,2,3,5,3,3,2,3,5,4,4,4,2,4,4,4,4,2,5,4,4,2,4,5,4,5,3,3,5,5,4,3,3,5,E,5059,7,5,0,2,70,,1,1,1,1,3,4,5,5,5,5,5,5,4,3,159,61,5,2,2,2,2,2,1,0,2,3,13,6,26,1,28,0,0,NA,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,21,7,south east asian,thailand,english,16,5,1,42,46,30,35,57
4,4,3,3,3,4,5,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,4,5,3,3,4,4,4,3,2,4,4,5,4,3,4,4,4,4,2,4,5,5,4,3,3,4,5,4,3,4,4,5,4,3,3,IS,5040,7,5,1,2,82,,8,2,1,1,3,3,6,5,4,4,6,6,5,4,171,62.5,20,2,2,2,2,1,1,5,2,7,18,10,0,2,0,20,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,4,2,19,2,NA,hong kong,english,15,5,1,49,54,45,34,43
3,5,5,4,2,4,5,3,4,3,4,4,5,4,4,2,5,5,5,2,5,4,3,2,2,3,1,5,4,4,3,5,5,5,3,3,5,5,4,4,3,3,4,3,2,3,4,3,5,2,4,5,5,5,3,3,4,4,4,4,E,5045,6,5,2,2,73%,,4,2,1,1,7,7,6,6,5,5,5,6,4,2,160,62,75,1,1,1,1,1,1,100,80,100,9,9,0,0,0,1,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,18,1,NA,Canada,English,13,5,1,40,50,52,49,35
4,4,3,3,3,4,3,3,4,2,2,2,4,4,4,4,4,4,4,2,4,3,1,3,4,1,4,2,4,4,4,3,3,4,2,4,3,2,3,4,3,2,3,3,5,4,4,3,3,2,4,4,3,3,3,4,3,2,4,4,IS,5043,8,5,5,2,85.30%,,2,2,1,1,7,5,6,5,4,4,5,5,4,3,180cm,58,2,1,1,3,1,2,1,1,1,7,7,7,0,0,7,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,19,7,middle-Eastern,Canada,English,14,5,1,42,39,33,42,39
3,4,5,5,4,1,5,5,2,4,5,3,4,3,4,2,5,4,4,5,1,5,2,2,4,5,4,4,2,5,2,1,4,4,5,2,4,4,3,4,4,2,4,1,4,3,4,4,5,4,2,5,5,2,5,2,3,3,2,4,O,5079,4,5,NA,2,86,,2,2,1,1,5,5,5,5,5,5,5,6,3,3,165,115,96,2,1,2,1,1,1,10,7,5,7,2,0,0,0,1,1,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,22,1,NA,Canada,English,17,5,1,32,45,48,35,52
