case_id,Case ID number
age,Age
sex,Sex
ethnicity,Ethnicity
rel_acquaintance,Acquaintance
rel_friend,Friend
rel_roommate,Roommate
rel_boygirlfriend,Boy/girlfriend
rel_relative,Relative
rel_other,Other relationship
rel_description,Other relationship description
bfi1,"1. Is outgoing, sociable."
bfi2,"2. Is compassionate, has a soft heart."
bfi3,3. Tends to be disorganized.
bfi4,"4. Is relaxed, handles stress well."
bfi5,5. Has few artistic interests.
bfi6,6. Has an assertive personality.
bfi7,"7. Is respectful, treats others with respect."
bfi8,8. Tends to be lazy.
bfi9,9. Stays optimistic after experiencing a setback.
bfi10,10. Is curious about many different things.
bfi11,11. Rarely feels excited or eager.
bfi12,12. Tends to find fault with others.
bfi13,"13. Is dependable, steady."
bfi14,"14. Is moody, has up and down mood swings."
bfi15,"15. Is inventive, finds clever ways to do things."
bfi16,16. Tends to be quiet.
bfi17,17. Feels little sympathy for others.
bfi18,"18. Is systematic, likes to keep things in order."
bfi19,19. Can be tense.
bfi20,"20. Is fascinated by art, music, or literature."
bfi21,"21. Is dominant, acts as a leader."
bfi22,22. Starts arguments with others.
bfi23,23. Has difficulty getting started on tasks.
bfi24,"24. Feels secure, comfortable with self."
bfi25,"25. Avoids intellectual, philosophical discussions."
bfi26,26. Is less active than other people.
bfi27,27. Has a forgiving nature.
bfi28,28. Can be somewhat careless.
bfi29,"29. Is emotionally stable, not easily upset."
bfi30,30. Has little creativity.
bfi31,"31. Is sometimes shy, introverted."
bfi32,32. Is helpful and unselfish with others.
bfi33,33. Keeps things neat and tidy.
bfi34,34. Worries a lot.
bfi35,35. Values art and beauty.
bfi36,36. Finds it hard to influence people.
bfi37,37. Is sometimes rude to others.
bfi38,"38. Is efficient, gets things done."
bfi39,39. Often feels sad.
bfi40,"40. Is complex, a deep thinker."
bfi41,41. Is full of energy.
bfi42,42. Is suspicious of others' intentions.
bfi43,"43. Is reliable, can always be counted on."
bfi44,44. Keeps their emotions under control.
bfi45,45. Has difficulty imagining things.
bfi46,46. Is talkative.
bfi47,47. Can be cold and uncaring.
bfi48,"48. Leaves a mess, doesn't clean up."
bfi49,49. Rarely feels anxious or afraid.
bfi50,50. Thinks poetry and plays are boring.
bfi51,51. Prefers to have others take charge.
bfi52,"52. Is polite, courteous toward others."
bfi53,"53. Is persistent, works until the task is finished."
bfi54,"54. Tends to feel depressed, blue."
bfi55,55. Has little interest in abstract ideas.
bfi56,56. Shows a lot of enthusiasm.
bfi57,57. Assumes the best about people.
bfi58,58. Sometimes behaves irresponsibly.
bfi59,"59. Is temperamental, gets emotional easily."
bfi60,"60. Is original, comes up with new ideas."
pbfi1,"p1. Is outgoing, sociable."
pbfi2,"p2. Is compassionate, has a soft heart."
pbfi3,p3. Tends to be disorganized.
pbfi4,"p4. Is relaxed, handles stress well."
pbfi5,p5. Has few artistic interests.
pbfi6,p6. Has an assertive personality.
pbfi7,"p7. Is respectful, treats others with respect."
pbfi8,p8. Tends to be lazy.
pbfi9,p9. Stays optimistic after experiencing a setback.
pbfi10,p10. Is curious about many different things.
pbfi11,p11. Rarely feels excited or eager.
pbfi12,p12. Tends to find fault with others.
pbfi13,"p13. Is dependable, steady."
pbfi14,"p14. Is moody, has up and down mood swings."
pbfi15,"p15. Is inventive, finds clever ways to do things."
pbfi16,p16. Tends to be quiet.
pbfi17,p17. Feels little sympathy for others.
pbfi18,"p18. Is systematic, likes to keep things in order."
pbfi19,p19. Can be tense.
pbfi20,"p20. Is fascinated by art, music, or literature."
pbfi21,"p21. Is dominant, acts as a leader."
pbfi22,p22. Starts arguments with others.
pbfi23,p23. Has difficulty getting started on tasks.
pbfi24,"p24. Feels secure, comfortable with self."
pbfi25,"p25. Avoids intellectual, philosophical discussions."
pbfi26,p26. Is less active than other people.
pbfi27,p27. Has a forgiving nature.
pbfi28,p28. Can be somewhat careless.
pbfi29,"p29. Is emotionally stable, not easily upset."
pbfi30,p30. Has little creativity.
pbfi31,"p31. Is sometimes shy, introverted."
pbfi32,p32. Is helpful and unselfish with others.
pbfi33,p33. Keeps things neat and tidy.
pbfi34,p34. Worries a lot.
pbfi35,p35. Values art and beauty.
pbfi36,p36. Finds it hard to influence people.
pbfi37,p37. Is sometimes rude to others.
pbfi38,"p38. Is efficient, gets things done."
pbfi39,p39. Often feels sad.
pbfi40,"p40. Is complex, a deep thinker."
pbfi41,p41. Is full of energy.
pbfi42,p42. Is suspicious of others' intentions.
pbfi43,"p43. Is reliable, can always be counted on."
pbfi44,p44. Keeps their emotions under control.
pbfi45,p45. Has difficulty imagining things.
pbfi46,p46. Is talkative.
pbfi47,p47. Can be cold and uncaring.
pbfi48,"p48. Leaves a mess, doesn't clean up."
pbfi49,p49. Rarely feels anxious or afraid.
pbfi50,p50. Thinks poetry and plays are boring.
pbfi51,p51. Prefers to have others take charge.
pbfi52,"p52. Is polite, courteous toward others."
pbfi53,"p53. Is persistent, works until the task is finished."
pbfi54,"p54. Tends to feel depressed, blue."
