Label,Domain,Facet,Item
BFAS,N,Volatility,Get angry easily.
BFAS,N,Volatility,Get upset easily.
BFAS,N,Volatility,Change my mood a lot.
BFAS,N,Volatility,Am a person whose moods go up and down easily.
BFAS,N,Volatility,Get easily agitated.
BFAS,N,Volatility,Can be stirred up easily.
BFAS,N,Volatility,Rarely get irritated.
BFAS,N,Volatility,Keep my emotions under control.
BFAS,N,Volatility,Rarely lose my composure.
BFAS,N,Volatility,Am not easily annoyed.
BFAS,N,Withdrawal,Am filled with doubts about things.
BFAS,N,Withdrawal,Feel threatened easily.
BFAS,N,Withdrawal,Worry about things.
BFAS,N,Withdrawal,Am easily discouraged.
BFAS,N,Withdrawal,Become overwhelmed by events.
BFAS,N,Withdrawal,Am afraid of many things.
BFAS,N,Withdrawal,Seldom feel blue.
BFAS,N,Withdrawal,Feel comfortable with myself.
BFAS,N,Withdrawal,Rarely feel depressed.
BFAS,N,Withdrawal,Am not embarrassed easily.
BFAS,A,Compassion,Feel others' emotions.
BFAS,A,Compassion,Inquire about others' well-being.
BFAS,A,Compassion,Sympathize with others' feelings.
BFAS,A,Compassion,Take an interest in other people's lives.
BFAS,A,Compassion,Like to do things for others.
BFAS,A,Compassion,Am not interested in other people's problems.
BFAS,A,Compassion,Can't be bothered with other's needs.
BFAS,A,Compassion,Am indifferent to the feelings of others.
BFAS,A,Compassion,Take no time for others.
BFAS,A,Compassion,Don't have a soft side.
BFAS,A,Politeness,Respect authority.
BFAS,A,Politeness,Hate to seem pushy.
BFAS,A,Politeness,Avoid imposing my will on others.
BFAS,A,Politeness,Rarely put people under pressure.
BFAS,A,Politeness,Insult people.
BFAS,A,Politeness,Believe that I am better than others.
BFAS,A,Politeness,Take advantage of others.
BFAS,A,Politeness,Seek conflict.
BFAS,A,Politeness,Love a good fight.
BFAS,C,Industriousness,Carry out my plans.
BFAS,C,Industriousness,Finish what I start.
BFAS,C,Industriousness,Get things done quickly.
BFAS,C,Industriousness,Always know what I am doing.
